Type,Features,,,,,,,SVM classifier
Frame@10Hz,Relative snout to forepaws placement,Relative snout to hind paws placement,Inter-forepaw distance,Body length,Body angle,Snout displacement,Tail-base displacement,B-SOiD labels
0,11.349420650076699,35.59139969110308,10.247818697071716,47.894451839548275,-2.8500319010529767,4.304374694824219,0.03179168701171875,5.0
1,13.747418286962962,39.52691137352751,11.838114942115368,52.12467777514429,-0.9817960330257228,4.064567565917969,3.920398712158203,6.0
2,13.933401928986896,39.69464503815152,12.502470246587924,52.357179559634474,-4.0007712157947415,5.429588317871094,1.547698974609375,9.0
3,15.728197513761447,42.4707878427411,11.909746123388933,56.8456878971549,-6.511890541972648,8.858612060546875,0.7842864990234375,9.0
4,15.984993480212076,44.0392628820981,11.468339522828732,56.48031734101333,-5.5239518109990975,6.207069396972656,6.016838073730469,8.0
5,17.228453205839422,48.401034088292135,12.03558477121592,58.34629942000136,-6.273821537389116,18.602935791015625,11.433204650878906,11.0
6,15.526273059965735,52.55079287754594,11.324474288350729,63.26083079912996,-12.207857797974773,12.25946044921875,7.885711669921875,11.0
7,14.890688752526248,51.06076009970377,9.976968754700685,63.99811289775692,-9.631568076529284,11.95489501953125,12.205894470214844,11.0
8,13.39776250537744,49.484842104707944,9.853074768532814,62.56408990773045,-0.9178085939566667,17.262191772460938,19.283096313476562,11.0
9,13.175521125265092,49.29900780771358,10.018163345721117,62.50507774805615,4.57681885439505,18.42462158203125,16.910964965820312,11.0
10,14.326134046852214,49.89727996560009,10.487200844411781,62.67549713150395,5.541742861323888,15.8765869140625,15.494491577148438,11.0
11,13.701371151140673,49.67058973051684,10.517190080974068,62.117108528868116,4.3971096682356805,11.161224365234375,14.021942138671875,11.0
12,14.797584983634554,49.2487519470192,12.52264521539785,61.37591251824822,8.13747110241233,7.0720367431640625,8.0030517578125,11.0
13,14.673347754395856,47.03150657883951,12.642491480062638,59.692169262048765,-0.58866575424665,0.56268310546875,3.027801513671875,1.0
14,14.065212802990978,46.453728656248344,11.12633249036131,57.0236967026442,0.1031974718246019,7.9727630615234375,9.829391479492188,11.0
15,13.465754571909542,46.62651998200792,11.800660065810716,56.312591507569806,-2.7516658470276254,15.69879150390625,15.744644165039062,11.0
16,14.461682612055707,49.4138887314662,10.706575979417346,61.22044722870682,-4.764472151072089,15.599853515625,8.80560302734375,11.0
17,15.90321155927662,52.13223922893786,9.336044367334104,63.10376205751874,-13.000956540002699,13.93951416015625,13.854217529296875,11.0
18,16.798308258721967,48.55888690223671,9.604365274197024,61.58602897298907,-9.83077040043419,10.82830810546875,14.202346801757812,11.0
19,15.777299048751946,47.00335991627142,11.029802506024186,59.93210685053259,-6.322464366676057,0.0,2.3421173095703125,0.0
20,14.500213526968572,46.979527988105055,12.413630380352918,61.68952999976283,-10.718271128504227,2.4925537109375,2.4163818359375,0.0
21,11.751576136128076,43.942723960899315,13.060547070587404,58.75336707465098,-12.35137288621793,6.0926513671875,4.0003814697265625,9.0
22,12.077906693924145,43.26324728241927,13.085549907837027,57.413676314129646,-20.873787231677888,5.805511474609375,11.768768310546875,8.0
23,13.352088865339994,47.048787304091334,12.655102077631287,57.378998696783995,-12.526230034528677,0.0,11.69451904296875,8.0
24,11.472452793117291,47.32161047319633,10.370803943538057,59.6954415698839,-2.5984927764286123,1.3031005859375,3.216094970703125,0.0
25,11.73900931389402,45.90236066013165,9.951528163432267,61.5778361477538,-2.994295710959093,0.068267822265625,3.16473388671875,0.0
26,13.572698790584688,46.258450146000285,11.307688391662566,63.6864309676572,-7.720614257338839,6.614471435546875,1.752777099609375,9.0
27,13.690755728514024,49.777820378782124,11.894820658095027,64.13189390767516,-7.681178391786788,3.934234619140625,4.64727783203125,8.0
28,14.212797596233976,45.95491389410691,12.02691655479157,64.57947467203932,-0.37565121796170775,0.547637939453125,0.0,5.0
29,12.581020239151997,46.69493160038796,12.503252608586848,64.15385999699731,4.941292667364515,3.34149169921875,2.301483154296875,11.0
30,11.721248988954969,52.545211563451744,12.343406213264291,62.50924083105282,1.37497903484718,0.0,1.569305419921875,5.0
31,11.668497411290872,48.31585314857581,12.12888258817135,62.182453118721554,-1.5625524288831376,4.131072998046875,2.463287353515625,0.0
32,12.377538394403267,46.271539022552034,13.357812871529209,63.58319574514279,-0.9816143469684641,1.394744873046875,0.3310546875,1.0
33,12.502365208309417,51.21093741635733,13.6204658798787,62.50440079234798,0.4889126061651263,0.144195556640625,0.4522705078125,5.0
34,11.61135322989691,52.02428629621696,13.548339402664693,61.31932969154186,0.6383142835726514,0.572235107421875,0.21258544921875,1.0
35,12.779935012649407,46.719645915906185,13.697973958917608,62.160097507211844,0.5087323490609363,0.0,0.47259521484375,1.0
36,13.099041631840475,47.63994287880273,14.083236214678887,60.917059198745314,-0.5879031149531133,0.0,0.533966064453125,1.0
37,14.373622839004536,50.042302704150146,14.251888949383176,60.634006166999896,-1.714879702261984,1.16021728515625,2.974822998046875,1.0
38,14.394412131964735,48.46423108440269,13.4215537826604,60.06132583940094,-7.379009769496335,5.2034912109375,2.162872314453125,5.0
39,15.75236370125582,42.687382875924115,12.62129624253459,57.33127160743233,-19.222698508394757,17.005889892578125,0.356658935546875,9.0
40,18.256214980202774,46.728261718372366,13.327819478306111,61.56924267284293,-13.314238304212404,13.380615234375,0.25689697265625,5.0
41,19.675763611540113,49.97438496204509,13.942609729663936,62.09869620745906,-10.543036043052822,9.591583251953125,2.6822509765625,5.0
42,19.268127910327152,47.26650222009879,13.850914274065431,62.336735278601736,-7.934900053091429,9.889312744140625,4.481201171875,8.0
43,18.840604193050456,46.37872942786639,13.281963000994494,62.0235176943684,-7.286325573181836,10.209396362304688,8.07720947265625,11.0
44,17.57141638029767,49.44822632250144,13.081933150075816,64.31877288653236,-7.121658679713538,11.726531982421875,7.9930419921875,11.0
45,17.44258651070658,54.04243297038464,13.295059634906671,64.85268964077336,-4.412678348621486,13.38525390625,11.781051635742188,11.0
46,17.667076480402624,51.432496759102236,12.614321145662831,64.53328553891097,2.592781502663269,13.953292846679688,14.308486938476562,11.0
47,18.297519136238247,51.481586339675545,13.545080074205401,65.29576190267744,2.948593994868559,13.479644775390625,12.9720458984375,11.0
48,17.55602530529489,53.157150764030135,14.501692449167725,64.361858152715,3.339266025833442,4.92498779296875,8.581405639648438,11.0
49,16.585048319589085,51.37503376286266,14.395296611683182,62.167679659913745,-2.204358552195497,0.491607666015625,0.0,5.0
50,15.091063089524418,45.32315213034388,12.216818540921455,56.62879555047439,-13.41813692589033,8.323287963867188,2.21636962890625,9.0
51,13.546693208586131,40.610113152381246,11.748533403791482,53.13118878865696,-20.83754486087863,3.8665924072265625,0.0,9.0
52,13.729116616702616,43.22673008007527,12.197725291490592,56.56189771601707,-13.037543670215811,0.0,3.39483642578125,9.0
53,14.729583490958383,45.00717631882718,11.668982672532099,59.2973578555043,-8.65438339999125,7.1209716796875,9.03851318359375,11.0
54,15.515451252954957,50.37289073497378,13.370274871830366,65.91199869616412,-8.392721613583232,9.221435546875,12.293441772460938,11.0
55,14.465113219609027,52.731404432676364,13.125876792147837,66.020121407043,-5.015213539191686,8.011505126953125,12.980712890625,11.0
56,14.69508582475147,52.05667500090252,12.64196387082058,66.69313306527147,-2.8774883785594656,4.6451263427734375,7.2187347412109375,8.0
57,15.694576846947445,52.37095589831098,12.753177324483673,65.82294160541599,-7.382483735330713,1.2176971435546875,8.844497680664062,8.0
58,15.164545954662117,51.979066587202766,13.039148618040999,65.99397652957131,-7.310517338766399,0.0,8.485443115234375,8.0
59,15.79544341094936,53.8962007170031,12.780052413769194,65.94526568877008,-6.414421025625419,0.5590667724609375,7.39276123046875,8.0
60,15.354196271198532,52.326081720583744,13.093315083566079,65.45565067099687,-2.4985945235949325,0.1049957275390625,3.1364593505859375,5.0
61,15.89204940350347,52.79752164137858,12.464919519044772,65.50149067055469,-2.3520467789112898,0.38446044921875,3.134063720703125,5.0
62,16.06381462641218,53.05048077479728,13.017837062805,64.8225313173156,-0.8870160096448143,0.0953369140625,1.109893798828125,5.0
63,16.78230596309545,53.51423448800391,12.91903235004921,65.94450580574149,-0.3820176335420735,0.029510498046875,0.3677215576171875,5.0
64,15.864407641744322,52.238385782801856,12.624672168946017,65.56417800846313,2.5525126616829192,3.1209259033203125,0.3115386962890625,5.0
65,17.7808266548842,54.63006218976378,12.660768537415063,66.93734173642156,4.38516747906745,5.7948150634765625,0.3846435546875,5.0
66,17.918195982598665,52.45122048172999,12.433503290836814,66.48177541923053,2.5199205934367503,2.8751068115234375,0.1860504150390625,5.0
67,17.004000777661286,51.08410676718536,12.28580050748237,65.83384024759907,-0.07521361837221563,3.7515716552734375,3.865509033203125,8.0
68,14.134104296818325,44.90713612219919,12.349287043093273,58.02214687765016,4.531466590139522,7.31622314453125,5.3051910400390625,11.0
69,11.696724584783372,38.76544513342601,12.654764497698078,52.823350784132614,7.645379399511656,5.285179138183594,0.0,2.0
70,12.1406233621207,37.131116711600264,12.940836286108294,50.83607431167103,2.543241394953908,0.9798660278320312,0.3513946533203125,2.0
71,12.252036334677069,36.5802314755389,12.376130659339072,50.39827602488154,-2.1990679929242556,2.013916015625,0.053741455078125,10.0
