Type,Features,,,,,,,SVM classifier
Frame@10Hz,Relative snout to forepaws placement,Relative snout to hind paws placement,Inter-forepaw distance,Body length,Body angle,Snout displacement,Tail-base displacement,B-SOiD labels
0,11.128117470623309,42.52927236850036,13.331982366505528,63.546861312886676,1.1725448907311955,2.5746498107910156,0.6774826049804688,6.0
1,9.669113756029937,38.11400791745116,11.64165734510804,60.96473557571203,-0.11382430627572775,0.38885498046875,0.16705322265625,3.0
2,9.767706932282046,38.2450853091868,11.602018215288789,61.18016288830881,0.32121482229350157,0.0,0.0,3.0
3,9.266496854342055,37.399408896072956,12.080462387710412,60.18436040688418,6.175222234808575,3.220062255859375,0.1558837890625,12.0
4,10.782207094851017,37.28732169941945,13.516443776667014,59.414662418001754,9.003930478447199,5.245849609375,0.062408447265625,12.0
5,13.73429699331308,37.74197751304764,15.953610472718353,59.88987998644983,12.758501236913286,7.40582275390625,0.0,7.0
6,15.546777564038635,38.56352511118524,15.287358381309529,60.104597007281534,4.545849022352543,2.825042724609375,0.572906494140625,10.0
7,15.88842129189451,39.543696733152935,14.872808527898659,60.96268874076168,3.1765971688356682,1.403167724609375,0.344940185546875,10.0
8,16.602792626098683,41.12685124117503,14.641195081637818,62.54524670044839,2.8111629717346,0.0,1.34326171875,10.0
9,18.517929746758576,42.98325861254707,14.45691610692919,64.55716565257333,1.6973630436037532,0.73974609375,1.197021484375,5.0
10,18.83737204574114,43.55397501036457,14.423339039694065,65.2871910026177,0.36215359679945636,0.031768798828125,0.22918701171875,5.0
11,17.7690213934503,42.37755904412627,13.868670980243586,63.525949900635865,-1.053669338997791,1.441070556640625,0.837982177734375,5.0
12,13.909981869126018,37.82401161205517,15.026613829784258,57.58555900102225,1.8418417844773527,6.5694580078125,1.0789794921875,7.0
13,11.464925660834027,34.7184897132497,14.475165068195992,53.80053078296203,5.08221497719163,5.13372802734375,0.0,7.0
14,11.095689550828716,35.08341892845228,14.486959407869142,53.54504095645048,6.457936560659037,4.396759033203125,1.1158447265625,7.0
15,10.3866297962259,35.84818289949128,14.893792373706749,53.65632776911593,1.2840531579277208,0.437744140625,0.618988037109375,10.0
16,9.569647660711656,34.990056222675946,14.438027455353229,52.67031405284325,-5.915218970194248,4.270233154296875,0.0,1.0
17,9.12374526416301,33.673730174704616,14.120705965366486,51.714015834007185,-0.723044108641776,0.271026611328125,0.326202392578125,7.0
18,10.032309316651286,34.6891243339291,14.325249746398537,52.81087483440764,3.22447546198489,1.701629638671875,0.065643310546875,7.0
19,10.985778761949888,35.73985295456918,14.638077773664909,53.723445132163725,0.6370793502396883,0.0,0.64398193359375,10.0
20,11.298692891834538,35.972114530242436,14.256894966965756,54.07680762367245,-0.9350374986541832,0.95257568359375,0.0,7.0
21,11.465855433726933,36.097237596325286,14.266971837713886,54.24228939296911,0.6572364489850485,0.418182373046875,0.043792724609375,7.0
22,12.39570984195674,37.15730361934481,14.10717354794162,55.25123447031885,3.554307160244996,2.284332275390625,0.5252685546875,7.0
23,11.23235736418259,36.29276512312919,14.641133322349479,54.28746647942722,5.837181206581009,4.62005615234375,1.12841796875,7.0
24,9.993406396373821,35.41583452151134,14.71606230633336,53.65620237026914,3.8297821283261886,2.460052490234375,1.11572265625,7.0
25,9.616526892365897,34.68312949858347,14.420054764687393,53.16010972779147,4.8199778244929306,4.05322265625,0.52374267578125,7.0
26,4.4168960968567355,29.639050829631838,16.22343994646135,49.017953549644496,8.358014729290964,3.583251953125,3.703338623046875,2.0
27,0.6882672811850057,26.406747730277118,16.2538432015837,46.23502624012574,11.968108261641317,5.974853515625,3.32147216796875,2.0
28,1.4196440578733167,28.141633258472343,14.009693777574544,46.76404941765913,19.897946218750228,11.60791015625,4.56719970703125,2.0
29,4.453618696289045,35.57166453199068,13.812742072954629,53.760032457250595,12.366144498758059,7.59881591796875,4.56463623046875,2.0
30,8.377452115815679,42.88963012410842,13.243220362178823,60.72287763477037,5.230246113276613,8.911849975585938,0.446044921875,11.0
31,11.302956703755463,48.06847019245745,12.634633423660695,67.56892178593426,5.801240631437556,9.214111328125,1.20458984375,11.0
32,13.655828977877906,49.770435003707554,11.738898396861439,67.63953042938482,16.62998759090007,18.195877075195312,11.74505615234375,11.0
33,14.733304321144963,50.32194901881801,11.607794513811388,68.75962857224052,3.898252002207503,8.666290283203125,4.815704345703125,11.0
34,16.10516949035912,48.5660566413297,11.233191645824284,66.424080176702,11.023798196935246,6.1822357177734375,9.281692504882812,11.0
35,14.19278989133608,42.388355072362934,13.199194649801715,59.856344812446196,16.946935384367222,0.854156494140625,8.989761352539062,11.0
36,15.068887874790345,42.49132079786691,13.060481551544916,61.10320808417637,3.9200112434846512,0.724334716796875,0.0,1.0
37,15.411307303777335,42.65090966467437,13.468270167283283,61.74117880130623,3.9329734131521508,0.751312255859375,0.0560150146484375,1.0
38,12.410679816094394,38.66707198624627,13.589966254513444,58.69391861310919,3.5968210997500702,5.5267486572265625,0.23138427734375,6.0
39,13.139390342648955,39.16097816372383,13.761879503486517,59.813173024288844,5.62201352947139,0.0,0.2604217529296875,1.0
40,13.669882260778554,39.93609346348623,14.313298626262226,60.837951187738334,3.579388467163822,0.3837890625,2.465576171875,1.0
41,14.545854268630812,40.815679530475364,14.199886731273612,61.157525028294074,2.698023748865179,0.0,2.267608642578125,1.0
42,13.467909440100676,35.97867841718079,13.62621281834581,56.57467704292105,9.009563926596382,10.605789184570312,0.0,2.0
43,11.267979397270587,32.14176383438573,14.380231319947058,51.645865147149664,0.5107227314886467,2.9080047607421875,0.149139404296875,7.0
44,8.622051532478583,31.22427295458817,14.001644760946252,49.70327841918687,5.874800094103715,5.808837890625,0.44012451171875,2.0
45,6.728500486222618,29.95837090133878,15.433425739331508,48.17333007369598,10.537147046994612,8.424835205078125,0.0,2.0
46,5.902830639942234,29.350604623447886,15.211938609825488,47.70064715770184,5.450351918047129,3.82086181640625,0.5274505615234375,2.0
47,5.763275089818176,29.305169843355877,14.44173663130859,47.29752724610511,-0.22995679326173224,0.0,0.0,2.0
48,4.1185298085700275,27.078194111191344,13.554381477609645,44.58486233520983,-2.964383962263819,0.9576873779296875,0.4729461669921875,9.0
49,5.660365084422121,28.49805995454169,13.583723719253491,45.797033812987586,-8.418092149563126,6.3797760009765625,0.487030029296875,9.0
50,8.107862196763666,30.337985667242968,13.874928898062022,47.92720089849709,-3.033437299746513,2.2584228515625,0.6434173583984375,2.0
51,9.239969552678925,30.670007320520007,14.208090886414084,48.5630215898645,-1.450548547063471,0.8718109130859375,0.5801544189453125,2.0
52,9.358895689179231,30.556776707933942,13.97556143810252,48.2684812541072,0.9580697858039533,0.8718109130859375,0.1278839111328125,2.0
53,9.19653421790737,30.499110233304407,15.257338577829488,47.5339318903052,13.447319649154304,8.664535522460938,1.6156158447265625,2.0
54,7.458029385063117,30.635080323926402,15.785495529545841,48.01480782535052,7.3837211092285235,4.4420928955078125,1.2507476806640625,2.0
55,6.580035070801273,31.048099256149918,15.465041973207587,48.22431708085063,10.913241641635322,5.97589111328125,3.22991943359375,2.0
56,4.419675094498835,32.350891974376864,14.031336934693346,50.386566030138866,11.201913889093476,5.8740081787109375,3.9404144287109375,2.0
57,5.378566552175933,33.38129643621295,13.19703430660438,52.915726580422415,9.800673892916631,6.54949951171875,2.8273468017578125,2.0
58,6.274474486714318,35.76938719165391,13.130428709912518,55.255316489350356,6.968365521016084,5.4202880859375,1.937713623046875,2.0
59,8.67457667327518,40.4709090674744,13.212988301470517,61.01981325909834,4.494233246879821,3.8386688232421875,2.8147125244140625,12.0
60,9.54947966091947,41.1058249266583,12.060794978130385,61.616357128419196,4.728012474984941,4.26800537109375,0.0,11.0
61,9.412937084034379,42.870357646748324,11.139213498596163,63.01657455719631,5.903181709426912,6.245025634765625,0.3647003173828125,11.0
62,10.278822435614739,47.25263588607741,11.984056615885928,63.90265146694633,5.57077352496403,7.5406494140625,3.1432647705078125,11.0
63,10.872908690420694,51.3505540778841,11.640793082399878,63.47682681096417,4.386877255189857,9.027191162109375,6.26446533203125,11.0
64,12.49279438905086,48.78730766858714,11.853721873527448,66.18867249744353,6.5748874361241665,6.915008544921875,0.2619476318359375,11.0
65,13.465658396560865,49.88663114324693,12.409974995648334,66.73135372730047,-0.11705192182778817,2.36114501953125,1.5805206298828125,5.0
66,13.29532417053855,49.55171007906029,12.69520748252241,66.91110119347834,0.31134898231241154,1.22540283203125,0.7401885986328125,5.0
67,12.94113872823149,49.634649204049474,12.14843748627029,67.0739044207744,2.2250252143804907,1.261474609375,0.278900146484375,5.0
68,12.185011121991476,47.51450388121323,12.277764116664926,65.1977865910535,3.9168415981074,0.6466064453125,0.9799041748046875,5.0
69,12.43092680437936,45.40983732719154,11.91628332845788,63.35214523116165,2.0632356705525843,0.0,0.0,5.0
70,11.972312078824217,43.06937403444583,11.766010343034392,62.226233508927585,5.321395461555118,5.085968017578125,5.612945556640625,11.0
71,11.176994484152136,40.11097115948634,11.632893356757428,60.343495965014846,3.016654905010751,3.6348876953125,2.2919464111328125,11.0
72,9.001731952700204,35.51991481972579,14.259491328161438,55.73552655339405,7.899152081334798,5.167755126953125,2.3748321533203125,2.0
73,11.810156773380271,35.88952174363815,12.933844389338606,54.77703591528496,6.592278310191849,0.0,0.0352935791015625,2.0
74,13.36422827815655,34.697458435379495,11.505138723252909,53.87001773836738,11.135519230764391,1.358856201171875,0.529693603515625,2.0
75,14.68925167766563,32.580426038631316,12.713006033973826,51.8645492618638,4.798947262892353,3.242034912109375,1.0510101318359375,2.0
76,14.185912238442349,30.6135118427594,12.721248930403595,49.73828782069042,5.471776902526996,2.84423828125,0.006683349609375,2.0
77,15.041892283161765,31.888482732554834,12.217606567193751,50.389177204863216,3.754323795749195,0.0,0.4693145751953125,10.0
78,15.686694124373282,34.52239538592106,12.211701114675812,53.0617081111659,4.084186088473167,0.0653076171875,0.496337890625,1.0
79,15.510103339145747,36.84229698967002,13.11722501998273,55.33444860055512,3.0547913957833366,1.064422607421875,0.161529541015625,1.0
80,16.407439449339517,39.48950168365988,13.26870079717056,58.00417056438168,-1.3873359592530998,2.505157470703125,0.0,1.0
81,16.715842286913674,40.35798410753178,13.402971113221803,59.04473009642158,-3.069931826639051,0.0,2.0907135009765625,1.0
82,17.058333728243362,40.19085363300556,13.215383030231969,58.72971770868031,-2.8577263201629592,0.577850341796875,1.7117156982421875,1.0
83,16.22562607329317,38.964989165541866,13.307844478340272,57.50525113803104,-7.393076664122024,0.53973388671875,1.4496917724609375,1.0
84,15.027375601530139,39.23209144405704,12.5893929844571,57.841254920684094,-17.220809624019243,1.3250732421875,4.79351806640625,9.0
85,9.37247157058885,36.16372662282794,12.474542943223327,54.66560025669112,-11.386304747728964,6.07440185546875,1.47747802734375,9.0
86,5.469120260101654,33.181815545318344,12.220328099488626,51.462823892598635,-7.979212174885476,6.4345703125,1.72393798828125,9.0
87,6.719748670618564,35.46176630448218,12.297522699930376,53.960116650820424,-4.108123447258581,0.05010986328125,1.75396728515625,10.0
88,6.462891878902823,36.28598774141898,12.265135872336806,54.887165362620564,-2.317524286433631,0.542724609375,0.0,10.0
89,6.94545847996023,36.402942102438345,11.731882878814153,55.08423963171525,-0.32964187765863373,0.076629638671875,0.1167449951171875,10.0
90,7.61343415253598,35.44570413022359,11.250423788561772,53.557728347262106,3.3113529730136753,1.257843017578125,0.2700347900390625,10.0
91,6.012401207288171,33.416904608607055,11.788902980752866,51.16365674098496,3.282116802680913,4.938079833984375,3.7561798095703125,10.0
92,1.1450437638776059,28.21259441454469,12.131685005805505,45.16535538339596,0.47915421623324406,6.426483154296875,1.90618896484375,9.0
