,B-SOiD labels,Start time (frames),Run lengths
0,10,0,2
1,9,2,5
2,2,7,3
3,9,10,1
4,2,11,4
5,9,15,3
6,1,18,1
7,9,19,2
8,1,21,1
9,9,22,22
10,14,44,7
11,5,51,1
12,9,52,4
13,5,56,2
14,10,58,2
15,5,60,2
16,10,62,1
17,7,63,3
18,10,66,5
19,2,71,7
20,10,78,9
21,2,87,11
22,0,98,1
23,6,99,1
24,0,100,2
25,8,102,2
26,9,104,2
27,1,106,1
28,9,107,2
29,1,109,2
30,7,111,1
31,10,112,4
32,1,116,2
33,10,118,3
34,5,121,5
35,1,126,6
36,5,132,3
37,1,135,2
38,5,137,3
39,1,140,6
40,5,146,5
41,10,151,4
42,5,155,3
43,1,158,2
44,5,160,2
45,10,162,10
46,7,172,4
47,2,176,1
48,6,177,1
49,11,178,5
50,1,183,2
51,11,185,16
52,8,201,1
53,11,202,1
54,7,203,2
55,1,205,1
56,7,206,4
57,1,210,1
58,11,211,11
59,8,222,2
60,11,224,1
61,8,225,3
62,6,228,1
63,0,229,1
64,6,230,1
65,11,231,2
66,1,233,1
67,7,234,6
68,2,240,1
69,10,241,1
70,0,242,2
71,5,244,1
72,2,245,4
73,7,249,2
74,2,251,2
75,9,253,1
76,2,254,10
77,11,264,4
78,1,268,21
79,5,289,5
80,1,294,1
81,5,295,2
82,1,297,1
83,11,298,1
84,2,299,14
85,10,313,1
86,2,314,10
87,11,324,5
88,1,329,1
89,10,330,2
90,7,332,2
91,10,334,2
92,7,336,3
93,2,339,8
94,7,347,6
95,11,353,7
96,8,360,2
97,1,362,9
98,6,371,1
99,3,372,4
100,6,376,1
101,0,377,2
102,1,379,6
103,6,385,1
104,1,386,4
105,11,390,2
106,7,392,13
107,10,405,4
108,11,409,2
109,1,411,13
110,11,424,1
111,2,425,5
112,9,430,4
113,1,434,16
114,9,450,7
115,2,457,1
116,9,458,7
117,2,465,1
118,9,466,2
119,2,468,54
120,9,522,1
121,2,523,2
122,9,525,13
123,1,538,18
124,9,556,29
125,2,585,10
126,7,595,1
127,9,596,10
128,8,606,2
129,11,608,2
130,8,610,1
131,11,611,3
132,1,614,1
133,8,615,3
134,11,618,18
135,8,636,1
136,11,637,12
137,1,649,3
138,7,652,3
139,10,655,1
140,7,656,2
141,2,658,12
142,10,670,1
143,1,671,13
144,5,684,2
145,11,686,1
146,1,687,6
147,7,693,3
148,1,696,20
149,9,716,2
150,1,718,4
151,10,722,3
152,1,725,2
153,10,727,1
154,2,728,2
155,9,730,5
156,10,735,1
157,7,736,1
158,10,737,3
159,1,740,2
160,5,742,1
161,9,743,1
162,8,744,2
163,9,746,9
164,2,755,3
165,7,758,1
166,10,759,2
167,1,761,5
168,11,766,3
169,8,769,1
170,11,770,1
171,5,771,6
172,1,777,8
173,8,785,2
174,11,787,26
175,0,813,1
176,2,814,1
177,1,815,7
178,5,822,5
179,9,827,7
180,13,834,1
181,9,835,7
182,2,842,1
183,0,843,1
184,9,844,2
185,1,846,2
186,10,848,1
187,1,849,3
188,0,852,1
189,9,853,7
190,1,860,2
191,10,862,4
192,1,866,1
193,10,867,7
194,1,874,4
195,10,878,2
196,1,880,4
197,9,884,8
198,2,892,1
199,9,893,2
200,2,895,8
201,13,903,1
202,9,904,51
203,2,955,1
204,9,956,2
205,2,958,15
206,10,973,18
207,1,991,1
208,10,992,7
209,7,999,1
210,2,1000,6
211,9,1006,15
212,1,1021,3
213,5,1024,1
214,1,1025,1
215,5,1026,1
216,9,1027,1
217,5,1028,3
218,9,1031,9
219,0,1040,1
220,8,1041,9
221,5,1050,3
222,9,1053,4
223,5,1057,2
224,1,1059,1
225,10,1060,2
226,1,1062,7
227,5,1069,1
228,1,1070,24
229,0,1094,1
230,9,1095,1
231,2,1096,7
232,9,1103,1
233,2,1104,2
234,7,1106,7
235,1,1113,2
236,10,1115,1
237,1,1116,5
238,11,1121,2
239,1,1123,1
240,5,1124,10
241,9,1134,7
242,2,1141,2
243,7,1143,1
244,0,1144,1
245,9,1145,11
246,2,1156,6
247,9,1162,10
248,0,1172,1
249,1,1173,1
250,9,1174,3
251,5,1177,1
252,1,1178,4
253,9,1182,1
254,1,1183,7
255,0,1190,1
256,1,1191,4
257,7,1195,1
258,0,1196,1
259,1,1197,1
260,0,1198,7
261,1,1205,17
262,0,1222,1
263,9,1223,4
264,2,1227,3
265,9,1230,2
266,1,1232,2
267,9,1234,1
268,8,1235,2
269,1,1237,3
270,9,1240,3
271,1,1243,7
272,10,1250,4
273,7,1254,1
274,2,1255,3
275,9,1258,4
276,2,1262,1
277,9,1263,1
278,2,1264,6
279,9,1270,8
280,2,1278,3
281,9,1281,9
282,2,1290,4
283,9,1294,25
284,2,1319,1
285,9,1320,9
286,2,1329,10
287,7,1339,2
288,1,1341,2
289,10,1343,2
290,7,1345,9
291,10,1354,13
292,1,1367,1
293,5,1368,1
294,1,1369,4
295,9,1373,28
296,1,1401,2
297,9,1403,5
298,2,1408,12
299,9,1420,1
300,1,1421,5
301,9,1426,5
302,0,1431,1
303,9,1432,3
304,1,1435,1
305,9,1436,5
306,1,1441,1
307,9,1442,5
308,2,1447,5
309,7,1452,2
310,9,1454,2
311,7,1456,2
312,2,1458,8
313,9,1466,30
314,2,1496,3
315,10,1499,7
316,9,1506,5
317,10,1511,1
318,9,1512,11
319,10,1523,2
320,9,1525,2
321,5,1527,2
322,0,1529,3
323,2,1532,6
324,10,1538,1
325,2,1539,5
