Type,Features,,,,,,,SVM classifier
Frame@10Hz,Relative snout to forepaws placement,Relative snout to hind paws placement,Inter-forepaw distance,Body length,Body angle,Snout displacement,Tail-base displacement,B-SOiD labels
0,7.937894064029408,32.8832858875273,12.413851337613902,50.29152941491573,4.146678862231262,0.0,0.0,10.0
1,5.885956644918664,19.391566782002567,11.601451782539423,37.66291497666571,-4.646470333362146,5.167388916015625,0.04248809814453125,9.0
2,10.317731400205322,22.483651846605134,10.856416958139839,40.77814195837264,-7.403594430054069,4.260627746582031,0.4350128173828125,9.0
3,14.593354823463006,23.955080319545893,13.047457470036992,42.96860002450639,-10.160907758748596,5.329139709472656,1.859649658203125,9.0
4,15.57433408570556,25.883675161705938,12.147271930512176,45.11812769066921,-2.6368826498345896,0.6522140502929688,0.7950592041015625,2.0
5,12.918264179195894,26.75305039431933,12.245357896046425,43.58317697992052,-3.3896687651750925,2.018707275390625,0.933868408203125,9.0
6,12.147381855576254,26.08744763492539,12.503219776794133,43.03696816878105,-0.4959546444933679,0.0,0.7009429931640625,2.0
7,13.530329436215705,28.345430869154434,12.449530214227213,45.40281411040516,-2.004638089377708,3.0050811767578125,0.3976898193359375,2.0
8,16.013963736200406,31.765180877019276,12.638269510678768,48.73406671978232,-7.534420793505753,5.207000732421875,0.3949737548828125,9.0
9,17.146861865906914,33.78308904887912,13.380282902884048,49.994972284363406,-8.296873461214549,3.19793701171875,0.979949951171875,1.0
10,16.45901206670394,36.01978954515823,12.369048474640898,52.56002534059536,-9.338616999684085,2.3107528686523438,0.0,9.0
11,15.69972300501125,38.057473891050215,12.602843910361678,54.52339018979053,-12.434612587897956,1.1333389282226562,1.5387420654296875,9.0
12,12.965488376613067,38.249544884979485,13.542089293563592,55.382147757811964,-18.859819838514774,11.931907653808594,2.9290618896484375,9.0
13,7.838951956389803,32.95982136846315,14.782259190293733,49.91840621089358,-16.33520634923964,12.0230712890625,1.8759765625,9.0
14,5.08079380430139,30.01104770353776,15.094985583315685,46.89619833926152,-16.928622908083867,11.756858825683594,1.5660858154296875,9.0
15,4.835975859283206,28.61144319713643,12.859293107389899,47.30788317786011,-15.516029495252091,8.805061340332031,3.2693557739257812,9.0
16,4.617233832461508,26.835445532035507,12.769320340791538,46.202359761767084,-9.3376245400026,3.8417129516601562,3.7434310913085938,9.0
17,4.9804874996134885,24.74009587858351,13.478926963953034,44.36995430695878,-16.77287813978364,4.942985534667969,7.615943908691406,9.0
18,6.776934681725791,25.070040579379366,12.89860139350193,44.679889990838774,-11.44015468977879,1.4179840087890625,6.678611755371094,9.0
19,6.891483267612667,24.824343022486957,12.996340516071825,43.704586713687036,-7.676985048564005,0.2754974365234375,4.308624267578125,9.0
20,9.167124988249476,25.86012422220547,13.704397189947976,44.64139233782528,-23.53681273225986,5.001922607421875,6.254203796386719,9.0
21,8.242091891063506,26.526075920015554,12.818000311471959,45.60381861673805,-14.16757629194099,3.4669952392578125,2.8875350952148438,9.0
22,6.597310563648545,27.619638485688917,11.635910584158133,46.973719110529814,-4.723126507134169,0.3874359130859375,0.42327117919921875,14.0
23,6.468957616339512,27.606701307671184,11.36565533252691,47.16153343595661,-2.5914443939889105,0.63787841796875,0.12192535400390625,14.0
24,6.283598185035505,27.546249105316278,10.808727835780633,47.280958346948395,-0.05346889841764516,0.318939208984375,0.1552886962890625,14.0
25,6.678805841032823,28.131327199471805,10.796664340948844,48.22461797852122,-1.5425592866049977,1.726898193359375,0.02906036376953125,14.0
26,7.598884935237173,30.169723481616053,11.58660780258224,49.680231892978064,-6.653986088880413,4.2711334228515625,2.91302490234375,9.0
27,7.644695919925471,33.1860225034262,11.273478309766043,53.107646223853635,-11.716375022780635,3.787078857421875,2.7665481567382812,9.0
28,6.846158295183791,33.187995750653,11.833288254711038,53.49704944474479,-9.731492448040921,0.0,2.6626358032226562,5.0
29,7.810149176231999,34.03150701614792,11.37167767326914,54.410372044378406,-3.481169048016342,0.0,0.402679443359375,10.0
