,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.06465979105277257,1.7043248014121801,1.0,1.0,1.0,2.0,3.0
1,0.158987409590142,2.6931366988088485,1.0,1.0,1.0,2.0,6.0
2,0.11528931154567372,2.70889063729347,1.0,1.0,1.0,3.0,6.0
3,0.0031141173319046344,1.273972602739726,1.0,1.0,1.0,1.0,2.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.09265336190731316,2.2224899598393573,1.0,1.0,1.0,2.0,4.0
6,0.013226627377444415,1.1861861861861862,1.0,1.0,1.0,1.0,2.0
7,0.03519287436378248,1.9143897996357013,1.0,1.0,1.0,2.0,4.0
8,0.034255290650950974,1.3918367346938776,1.0,1.0,1.0,2.0,2.0
9,0.1399343691401018,3.5809768637532136,1.0,1.0,1.0,4.0,8.0
10,0.09171577819448165,2.4565022421524665,1.0,1.0,1.0,2.0,5.0
11,0.24457540851861773,3.9502433747971875,1.0,1.0,1.0,4.0,10.0
12,0.003047147066702384,1.1666666666666667,1.0,1.0,1.0,1.0,1.2999999999999972
13,0.001372890436646129,1.1388888888888888,1.0,1.0,1.0,1.0,2.0
