,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.055096973357492786,1.706860706860707,1.0,1.0,1.0,2.0,3.0
1,0.08133682303201127,2.0542372881355933,1.0,1.0,1.0,2.0,4.0
2,0.16280786524394336,2.7757437070938216,1.0,1.0,2.0,3.0,6.0
3,0.002147506878732971,1.1428571428571428,1.0,1.0,1.0,1.0,1.3000000000000007
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.05630494597678008,1.8480176211453745,1.0,1.0,1.0,2.0,3.0
6,0.010267767263942018,1.125,1.0,1.0,1.0,1.0,1.0
7,0.0527481377088786,2.2915451895043732,1.0,1.0,1.0,3.0,5.0
8,0.01946178108851755,1.2033195020746887,1.0,1.0,1.0,1.0,2.0
9,0.24515133212536072,4.287558685446009,1.0,1.0,2.0,4.0,8.0
10,0.12536071404603719,2.3645569620253166,1.0,1.0,2.0,3.0,5.0
11,0.1771022079055097,3.665277777777778,1.0,1.0,2.0,5.0,9.0
12,0.0018119589289309443,1.0384615384615385,1.0,1.0,1.0,1.0,1.0
13,0.004295013757465942,1.3617021276595744,1.0,1.0,1.0,1.0,2.0
