,B-SOiD labels,Start time (frames),Run lengths
0,11,0,2
1,6,2,1
2,0,3,5
3,6,8,1
4,8,9,2
5,6,11,1
6,0,12,3
7,9,15,1
8,8,16,2
9,0,18,5
10,9,23,2
11,5,25,7
12,1,32,1
13,5,33,8
14,1,41,1
15,5,42,16
16,8,58,1
17,11,59,27
18,5,86,5
19,8,91,1
20,9,92,10
21,5,102,4
22,11,106,26
23,0,132,1
24,5,133,1
25,0,134,1
26,1,135,6
27,5,141,1
28,1,142,2
29,0,144,8
30,1,152,3
31,0,155,1
32,8,156,2
33,9,158,1
34,0,159,3
35,6,162,1
36,0,163,1
37,1,164,2
38,0,166,2
39,9,168,1
40,1,169,9
41,10,178,5
42,1,183,1
43,11,184,1
44,2,185,14
45,7,199,2
46,10,201,1
47,7,202,1
48,2,203,1
49,7,204,2
50,2,206,6
51,11,212,4
52,5,216,5
53,11,221,2
54,5,223,13
55,11,236,1
56,6,237,1
57,0,238,3
58,1,241,1
59,9,242,4
60,5,246,2
61,1,248,2
62,0,250,1
63,1,251,1
64,0,252,1
65,9,253,1
66,1,254,2
67,10,256,1
68,9,257,4
69,7,261,9
70,2,270,3
71,10,273,3
72,2,276,2
73,11,278,6
74,6,284,1
75,8,285,1
76,10,286,7
77,2,293,2
78,11,295,32
79,5,327,2
80,11,329,6
81,5,335,1
82,11,336,8
83,8,344,3
84,6,347,1
85,0,348,2
86,8,350,1
87,5,351,2
88,1,353,1
89,11,354,1
90,1,355,1
91,5,356,1
92,1,357,1
93,11,358,1
94,10,359,4
95,11,363,13
96,8,376,1
97,2,377,5
98,7,382,2
99,2,384,1
100,0,385,1
101,11,386,4
102,2,390,6
103,11,396,4
104,7,400,2
105,11,402,2
106,1,404,1
107,11,405,4
108,1,409,1
109,5,410,2
110,11,412,34
111,0,446,2
112,1,448,2
113,0,450,2
114,2,452,1
115,0,453,2
116,11,455,5
117,5,460,3
118,11,463,3
119,5,466,6
120,1,472,1
121,5,473,25
122,9,498,2
123,1,500,6
124,10,506,1
125,1,507,5
126,2,512,2
127,1,514,3
128,2,517,1
129,9,518,5
130,2,523,1
131,9,524,6
132,8,530,4
133,0,534,1
134,5,535,8
135,8,543,2
136,5,545,3
137,8,548,1
138,11,549,2
139,8,551,1
140,5,552,2
141,11,554,2
142,9,556,4
143,1,560,4
144,10,564,1
145,2,565,6
146,9,571,4
147,2,575,5
148,11,580,5
149,0,585,1
150,2,586,7
151,11,593,2
152,1,595,2
153,10,597,2
154,1,599,2
155,10,601,3
156,7,604,1
157,1,605,1
158,5,606,19
159,0,625,1
160,5,626,5
161,1,631,1
162,9,632,2
163,1,634,2
164,10,636,1
165,1,637,1
166,7,638,4
167,2,642,1
168,9,643,6
169,2,649,2
170,9,651,9
171,5,660,4
172,8,664,1
173,11,665,7
174,8,672,1
175,11,673,4
176,8,677,2
177,11,679,3
178,8,682,3
179,11,685,3
180,5,688,1
181,9,689,3
182,11,692,11
183,0,703,1
184,10,704,1
185,9,705,3
186,13,708,1
187,2,709,1
188,9,710,11
189,10,721,1
190,5,722,2
191,10,724,2
192,14,726,3
193,5,729,4
194,10,733,2
195,14,735,1
196,10,736,10
197,9,746,2
198,8,748,4
199,0,752,2
200,8,754,1
201,1,755,3
202,0,758,6
203,5,764,1
204,1,765,7
205,0,772,2
206,2,774,3
207,7,777,1
208,2,778,13
209,10,791,6
210,2,797,15
211,10,812,3
212,2,815,1
213,11,816,4
214,5,820,1
215,11,821,17
216,8,838,3
217,0,841,1
218,2,842,1
219,9,843,1
220,2,844,1
221,9,845,18
222,10,863,3
223,2,866,2
224,10,868,2
225,2,870,1
226,10,871,1
227,11,872,18
228,0,890,1
229,9,891,3
230,0,894,1
231,6,895,1
232,11,896,1
233,0,897,1
234,2,898,2
235,0,900,1
236,2,901,2
237,10,903,1
238,9,904,7
239,2,911,12
240,9,923,6
241,0,929,2
242,2,931,4
243,0,935,2
244,9,937,2
245,2,939,1
246,9,940,2
247,2,942,1
248,10,943,3
249,2,946,1
250,10,947,1
251,2,948,2
252,11,950,19
253,8,969,1
254,1,970,1
255,11,971,22
256,8,993,2
257,11,995,10
258,1,1005,2
259,2,1007,4
260,11,1011,4
261,5,1015,1
262,1,1016,4
263,5,1020,4
264,1,1024,1
265,6,1025,1
266,11,1026,5
267,5,1031,3
