,B-SOiD labels,Start time (frames),Run lengths
397,9,991,3
398,8,994,1
399,5,995,1
400,1,996,2
401,10,998,2
402,2,1000,2
403,11,1002,4
404,1,1006,2
405,7,1008,4
406,2,1012,4
407,10,1016,4
408,11,1020,10
409,8,1030,1
410,11,1031,6
411,8,1037,1
412,0,1038,1
413,7,1039,1
414,2,1040,4
415,9,1044,5
416,2,1049,1
417,10,1050,2
418,1,1052,1
419,2,1053,4
420,10,1057,1
421,2,1058,2
422,10,1060,1
423,2,1061,2
424,7,1063,1
425,2,1064,3
426,11,1067,13
427,10,1080,1
428,2,1081,2
429,11,1083,7
430,1,1090,2
431,9,1092,1
432,5,1093,1
433,9,1094,4
434,8,1098,1
435,2,1099,8
436,0,1107,2
437,2,1109,1
438,0,1110,4
439,2,1114,1
440,10,1115,1
441,7,1116,1
442,2,1117,5
443,9,1122,1
444,1,1123,1
445,9,1124,1
446,10,1125,3
447,2,1128,4
448,11,1132,5
449,6,1137,2
450,0,1139,2
451,9,1141,2
452,0,1143,1
453,8,1144,1
454,5,1145,2
455,0,1147,1
456,10,1148,1
457,5,1149,1
458,10,1150,1
459,2,1151,3
460,10,1154,1
461,9,1155,1
462,2,1156,1
463,13,1157,1
464,9,1158,1
465,2,1159,3
466,9,1162,4
467,5,1166,1
468,14,1167,6
469,5,1173,2
470,9,1175,14
471,0,1189,1
472,2,1190,1
473,7,1191,1
474,9,1192,3
475,8,1195,1
476,5,1196,1
477,1,1197,4
478,5,1201,3
479,11,1204,1
480,8,1205,1
481,9,1206,3
482,5,1209,1
483,9,1210,2
484,8,1212,2
485,0,1214,1
486,11,1215,1
487,1,1216,1
488,8,1217,1
489,5,1218,2
490,1,1220,3
491,5,1223,1
492,9,1224,5
493,11,1229,1
494,0,1230,1
495,10,1231,3
496,11,1234,2
497,0,1236,2
498,9,1238,2
499,8,1240,1
500,10,1241,1
501,5,1242,1
502,10,1243,2
503,9,1245,3
504,5,1248,1
505,11,1249,5
506,8,1254,1
507,11,1255,5
508,1,1260,1
509,11,1261,16
510,6,1277,1
511,11,1278,1
512,2,1279,2
513,11,1281,1
514,2,1282,1
515,7,1283,4
516,1,1287,1
517,11,1288,3
518,2,1291,1
519,10,1292,1
520,11,1293,8
521,0,1301,1
522,6,1302,1
523,11,1303,14
524,6,1317,1
525,1,1318,1
526,2,1319,3
527,10,1322,1
528,11,1323,14
