,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.03508121587922087,1.4641350210970465,1.0,1.0,1.0,2.0,2.0
1,0.16647570263530365,2.53723677452491,1.0,1.0,1.0,2.0,6.0
2,0.12175641976140729,2.7309145880574452,1.0,1.0,1.0,3.0,6.0
3,0.0011794837231246208,1.3461538461538463,1.0,1.0,1.0,1.0,2.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.08499022713486554,2.0689089417555375,1.0,1.0,1.0,2.0,4.0
6,0.010379456763496664,1.3449781659388647,1.0,1.0,1.0,1.0,2.0
7,0.04043944193570129,1.8547140649149922,1.0,1.0,1.0,2.0,4.0
8,0.03501381680932803,1.4572230014025245,1.0,1.0,1.0,2.0,2.0
9,0.16785738356810675,3.596389891696751,1.0,1.0,1.0,4.0,9.0
10,0.08670890341713285,2.2104810996563575,1.0,1.0,1.0,2.0,4.0
11,0.24681539394756352,4.253193960511034,1.0,1.0,1.0,4.0,12.0
12,0.0009772865134461144,1.0740740740740742,1.0,1.0,1.0,1.0,1.0
13,0.0012468827930174563,1.3703703703703705,1.0,1.0,1.0,1.5,2.0
