,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.03551012172977335,1.8857142857142857,1.0,1.0,1.0,2.0,4.0
1,0.1600645638576905,3.3240223463687153,1.0,1.0,2.0,4.0,7.0
2,0.1474880624117291,4.731391585760518,1.0,2.0,3.0,6.0,10.0
3,0.002757414755531643,1.8222222222222222,1.0,1.0,1.0,2.0,3.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.09741744569238012,3.6486146095717884,1.0,1.0,2.0,5.0,8.0
6,0.012374739390678593,1.6211453744493391,1.0,1.0,1.0,2.0,3.0
7,0.08480731723720493,2.932558139534884,1.0,1.0,2.0,3.0,6.0
8,0.03174389669782769,1.9666666666666666,1.0,1.0,1.0,2.0,4.0
9,0.11325576703208017,4.86002886002886,1.0,2.0,3.0,6.0,11.0
10,0.09993947138341516,4.0,1.0,1.0,2.0,5.0,8.0
11,0.21050507767839127,6.97881828316611,1.0,2.0,4.0,9.0,18.0
12,0.002690160737104042,1.509433962264151,1.0,1.0,1.0,2.0,3.0
13,0.0008406752303450131,2.0833333333333335,1.0,1.0,1.0,2.0,2.9000000000000004
