,B-SOiD labels,Start time (frames),Run lengths
396,1,1006,1
397,10,1007,1
398,2,1008,1
399,10,1009,1
400,7,1010,1
401,11,1011,12
402,1,1023,1
403,11,1024,1
404,0,1025,1
405,2,1026,2
406,7,1028,1
407,2,1029,2
408,0,1031,1
409,2,1032,3
410,0,1035,1
411,9,1036,2
412,1,1038,3
413,10,1041,1
414,7,1042,1
415,2,1043,5
416,7,1048,1
417,10,1049,1
418,2,1050,3
419,11,1053,19
420,0,1072,1
421,5,1073,1
422,2,1074,2
423,11,1076,3
424,5,1079,4
425,1,1083,4
426,10,1087,1
427,1,1088,2
428,5,1090,2
429,1,1092,1
430,9,1093,1
431,1,1094,1
432,9,1095,3
433,8,1098,2
434,5,1100,4
435,1,1104,1
436,5,1105,1
437,11,1106,1
438,5,1107,3
439,11,1110,2
440,2,1112,3
441,7,1115,1
442,2,1116,1
443,7,1117,2
444,1,1119,1
445,7,1120,1
446,10,1121,1
447,1,1122,5
448,7,1127,1
449,11,1128,3
450,5,1131,3
451,8,1134,1
452,5,1135,5
453,9,1140,3
454,8,1143,1
455,5,1144,2
456,1,1146,1
457,11,1147,1
458,10,1148,2
459,2,1150,1
460,11,1151,5
461,1,1156,3
462,2,1159,1
463,1,1160,2
464,5,1162,2
465,8,1164,3
466,11,1167,2
467,8,1169,3
468,11,1172,1
469,8,1173,2
470,0,1175,1
471,7,1176,2
472,10,1178,3
473,7,1181,3
474,9,1184,2
475,5,1186,1
476,1,1187,1
477,5,1188,1
478,1,1189,1
479,2,1190,3
480,9,1193,5
481,11,1198,10
482,0,1208,1
483,11,1209,2
484,10,1211,4
485,1,1215,3
486,11,1218,1
487,1,1219,2
488,11,1221,2
489,5,1223,2
490,1,1225,12
491,9,1237,1
492,5,1238,1
493,10,1239,3
494,7,1242,1
495,2,1243,4
496,10,1247,1
497,2,1248,2
498,11,1250,14
499,8,1264,1
500,11,1265,5
501,5,1270,1
502,1,1271,1
503,11,1272,1
504,7,1273,2
505,2,1275,2
506,9,1277,7
507,1,1284,2
508,10,1286,2
