,B-SOiD labels,Start time (frames),Run lengths
0,10,0,2
1,1,2,6
2,0,8,1
3,1,9,5
4,2,14,3
5,10,17,1
6,2,18,1
7,11,19,25
8,8,44,1
9,5,45,2
10,9,47,2
11,5,49,1
12,8,50,3
13,11,53,2
14,8,55,1
15,11,56,2
16,5,58,15
17,9,73,1
18,0,74,1
19,12,75,1
20,11,76,3
21,1,79,6
22,11,85,3
23,2,88,5
24,10,93,2
25,11,95,4
26,5,99,2
27,11,101,17
28,8,118,1
29,5,119,1
30,8,120,3
31,5,123,1
32,1,124,1
33,9,125,4
34,5,129,5
35,1,134,1
36,11,135,2
37,7,137,2
38,11,139,26
39,1,165,4
40,7,169,2
41,1,171,4
42,5,175,6
43,1,181,1
44,5,182,4
45,11,186,5
46,5,191,14
47,0,205,1
48,6,206,1
49,11,207,8
50,1,215,4
51,7,219,2
52,9,221,7
53,5,228,1
54,1,229,1
55,9,230,1
56,1,231,1
57,10,232,1
58,1,233,1
59,7,234,1
60,1,235,1
61,9,236,1
62,1,237,1
63,7,238,6
64,2,244,3
65,10,247,2
66,2,249,2
67,11,251,1
68,2,252,2
69,11,254,41
70,7,295,1
71,11,296,6
72,1,302,1
73,8,303,2
74,5,305,2
75,8,307,1
76,11,308,3
77,8,311,1
78,5,312,2
79,8,314,2
80,5,316,2
81,9,318,2
82,5,320,2
83,1,322,4
84,6,326,1
85,11,327,1
86,10,328,3
87,2,331,3
88,11,334,16
89,7,350,1
90,2,351,2
91,7,353,3
92,1,356,1
93,9,357,3
94,11,360,11
95,1,371,3
96,10,374,1
97,5,375,1
98,10,376,1
99,7,377,1
100,10,378,2
101,7,380,3
102,2,383,5
103,11,388,10
104,8,398,1
105,1,399,1
106,8,400,1
107,11,401,28
108,1,429,2
109,11,431,11
110,5,442,2
111,11,444,3
112,2,447,2
113,7,449,2
114,11,451,4
115,5,455,2
116,11,457,38
117,1,495,1
118,11,496,28
119,6,524,1
120,0,525,1
121,1,526,6
122,10,532,7
123,7,539,1
124,2,540,1
125,11,541,22
126,0,563,1
127,1,564,1
128,9,565,5
129,0,570,1
130,1,571,2
131,9,573,2
132,1,575,1
133,7,576,1
134,1,577,1
135,9,578,1
136,2,579,3
137,10,582,1
138,7,583,2
139,2,585,4
140,10,589,2
141,2,591,21
142,11,612,5
143,5,617,1
144,11,618,8
145,8,626,2
146,11,628,9
147,8,637,2
148,11,639,5
149,5,644,2
150,1,646,1
151,5,647,1
152,8,648,1
153,11,649,26
154,1,675,1
155,5,676,2
156,1,678,3
157,5,681,1
158,11,682,2
159,1,684,7
160,9,691,2
161,1,693,3
162,5,696,5
163,0,701,1
164,8,702,4
165,1,706,6
166,9,712,8
167,8,720,1
168,5,721,5
169,11,726,1
170,1,727,1
171,10,728,1
172,1,729,1
173,10,730,3
174,7,733,1
175,2,734,4
176,9,738,1
177,2,739,3
178,9,742,1
179,2,743,6
180,11,749,5
181,1,754,2
182,8,756,1
183,1,757,7
184,5,764,4
185,1,768,1
186,11,769,2
187,2,771,2
188,0,773,2
189,6,775,2
190,2,777,6
191,11,783,4
192,2,787,4
193,11,791,27
194,8,818,4
195,5,822,1
196,1,823,1
197,11,824,3
198,8,827,1
199,1,828,1
200,11,829,1
201,8,830,3
202,11,833,6
203,1,839,2
204,11,841,2
205,0,843,2
206,9,845,1
207,1,846,3
208,10,849,5
209,7,854,3
210,2,857,1
211,7,858,1
212,10,859,2
213,1,861,1
214,9,862,3
215,5,865,1
216,1,866,3
217,10,869,3
218,1,872,1
219,9,873,6
220,11,879,16
221,0,895,1
222,1,896,1
223,0,897,1
224,2,898,1
225,1,899,1
226,10,900,3
227,1,903,3
228,11,906,1
229,1,907,3
230,10,910,1
231,11,911,1
232,7,912,2
233,2,914,1
234,7,915,3
235,10,918,1
236,7,919,3
237,1,922,1
238,9,923,1
239,7,924,2
240,10,926,2
241,1,928,2
242,9,930,7
243,8,937,6
244,11,943,4
245,5,947,4
246,9,951,12
247,5,963,1
248,9,964,1
249,8,965,1
250,11,966,2
251,8,968,6
252,11,974,2
253,8,976,1
254,0,977,1
255,1,978,5
256,10,983,1
257,7,984,6
258,2,990,1
259,7,991,6
260,9,997,4
261,1,1001,4
262,10,1005,5
263,7,1010,3
264,2,1013,1
265,7,1014,4
266,9,1018,2
267,1,1020,9
268,11,1029,2
269,0,1031,4
270,9,1035,5
271,2,1040,3
272,1,1043,2
273,0,1045,3
274,1,1048,3
275,11,1051,4
276,2,1055,3
277,11,1058,26
278,5,1084,8
279,1,1092,1
280,0,1093,4
281,11,1097,4
282,1,1101,2
283,10,1103,2
284,2,1105,4
285,10,1109,1
286,1,1110,4
287,5,1114,2
288,9,1116,13
289,1,1129,1
290,10,1130,1
291,1,1131,1
292,9,1132,1
293,1,1133,2
294,7,1135,1
295,2,1136,4
296,10,1140,3
297,2,1143,2
298,11,1145,37
299,2,1182,12
300,9,1194,2
301,2,1196,4
302,9,1200,2
303,2,1202,1
304,9,1203,2
305,2,1205,5
306,9,1210,3
307,2,1213,11
308,9,1224,1
309,2,1225,3
310,9,1228,1
311,2,1229,2
312,9,1231,16
313,2,1247,2
314,9,1249,14
315,2,1263,2
316,9,1265,5
317,2,1270,4
318,9,1274,5
319,6,1279,1
320,2,1280,8
321,9,1288,10
322,2,1298,8
323,11,1306,6
324,7,1312,2
325,2,1314,3
326,7,1317,6
327,1,1323,6
328,11,1329,27
329,5,1356,2
330,11,1358,3
331,5,1361,6
332,1,1367,7
333,5,1374,2
334,11,1376,36
335,1,1412,1
336,0,1413,1
337,2,1414,2
338,1,1416,3
339,5,1419,1
340,8,1420,1
341,11,1421,3
342,5,1424,2
343,10,1426,3
344,1,1429,1
345,7,1430,3
346,2,1433,1
347,1,1434,1
348,11,1435,8
349,1,1443,1
350,8,1444,1
351,11,1445,37
352,5,1482,3
353,9,1485,5
354,5,1490,2
355,9,1492,1
356,8,1493,2
357,1,1495,3
358,9,1498,1
359,5,1499,1
360,0,1500,3
361,9,1503,6
362,11,1509,11
363,1,1520,1
364,10,1521,4
365,1,1525,2
366,10,1527,4
367,7,1531,2
368,10,1533,3
369,7,1536,4
370,10,1540,1
371,1,1541,1
372,5,1542,2
373,1,1544,1
374,5,1545,5
375,10,1550,4
376,1,1554,2
377,5,1556,3
378,11,1559,14
379,8,1573,1
380,5,1574,2
381,1,1576,2
382,2,1578,2
383,7,1580,1
384,10,1581,4
385,7,1585,1
386,2,1586,6
387,7,1592,1
388,2,1593,6
389,7,1599,1
390,10,1600,4
391,7,1604,1
392,2,1605,4
393,10,1609,2
394,2,1611,6
395,0,1617,1
396,1,1618,1
397,11,1619,6
398,8,1625,2
399,5,1627,1
400,11,1628,4
401,1,1632,2
402,11,1634,3
403,5,1637,6
404,11,1643,1
405,1,1644,2
406,5,1646,2
407,11,1648,5
408,5,1653,1
409,8,1654,2
410,5,1656,1
411,11,1657,4
412,8,1661,2
413,11,1663,2
414,1,1665,2
415,11,1667,3
416,7,1670,1
417,2,1671,1
418,7,1672,4
419,2,1676,1
420,7,1677,6
421,9,1683,7
422,5,1690,1
423,9,1691,1
424,5,1692,3
425,11,1695,20
426,5,1715,1
427,0,1716,2
428,3,1718,1
429,10,1719,1
430,8,1720,1
431,10,1721,2
432,5,1723,1
433,14,1724,1
434,9,1725,17
435,2,1742,1
436,10,1743,1
437,2,1744,6
438,9,1750,13
439,0,1763,4
440,5,1767,1
441,9,1768,1
442,5,1769,2
443,8,1771,6
444,9,1777,1
445,8,1778,2
446,0,1780,1
447,1,1781,3
448,5,1784,10
449,1,1794,1
450,6,1795,2
451,1,1797,1
452,8,1798,2
453,5,1800,3
454,1,1803,2
455,5,1805,5
456,11,1810,5
457,5,1815,5
458,1,1820,1
459,2,1821,3
460,7,1824,2
461,2,1826,2
462,7,1828,1
463,2,1829,14
464,1,1843,2
465,2,1845,11
466,7,1856,3
467,2,1859,1
468,9,1860,4
469,11,1864,3
470,5,1867,9
471,1,1876,1
472,8,1877,1
473,5,1878,8
474,1,1886,4
475,11,1890,1
476,5,1891,22
477,1,1913,2
478,10,1915,6
479,9,1921,10
480,0,1931,1
481,8,1932,5
482,9,1937,3
483,5,1940,2
484,11,1942,2
485,5,1944,2
486,11,1946,1
487,5,1947,6
488,1,1953,4
489,7,1957,1
490,10,1958,5
491,1,1963,2
492,5,1965,8
493,11,1973,20
494,1,1993,2
495,5,1995,2
496,1,1997,1
497,11,1998,1
498,1,1999,1
499,5,2000,4
500,1,2004,2
501,10,2006,5
502,1,2011,3
503,10,2014,1
504,2,2015,3
505,10,2018,2
506,7,2020,1
507,2,2021,1
508,11,2022,23
509,5,2045,1
510,1,2046,2
511,11,2048,1
512,6,2049,1
513,0,2050,1
514,2,2051,4
515,7,2055,2
516,2,2057,5
517,0,2062,2
518,2,2064,6
519,0,2070,1
520,2,2071,1
521,9,2072,4
522,1,2076,6
523,10,2082,1
524,7,2083,3
525,2,2086,10
526,7,2096,1
527,1,2097,1
528,10,2098,1
529,7,2099,1
530,2,2100,6
531,11,2106,38
532,0,2144,2
533,5,2146,1
534,10,2147,1
535,2,2148,3
536,11,2151,6
537,5,2157,8
538,1,2165,9
539,10,2174,2
540,1,2176,4
541,5,2180,1
542,9,2181,1
543,5,2182,2
544,1,2184,1
545,9,2185,2
546,1,2187,2
547,9,2189,7
548,8,2196,4
549,5,2200,3
550,1,2203,1
551,5,2204,3
552,1,2207,2
553,5,2209,3
554,11,2212,1
555,1,2213,1
556,5,2214,5
557,11,2219,5
558,2,2224,3
559,7,2227,1
560,2,2228,2
561,7,2230,1
562,2,2231,2
563,7,2233,4
564,2,2237,1
565,1,2238,2
566,7,2240,1
567,10,2241,3
568,1,2244,9
569,7,2253,2
570,11,2255,6
571,5,2261,6
572,8,2267,2
573,5,2269,11
574,9,2280,6
575,8,2286,1
576,5,2287,2
577,1,2289,1
578,5,2290,1
579,1,2291,2
580,11,2293,3
581,10,2296,4
582,2,2300,2
583,11,2302,10
