Type,Features,,,,,,,SVM classifier
Frame@10Hz,Relative snout to forepaws placement,Relative snout to hind paws placement,Inter-forepaw distance,Body length,Body angle,Snout displacement,Tail-base displacement,B-SOiD labels
0,14.603239314971233,49.27719279468236,12.117266520550716,61.447137379518125,-6.088657796113257,2.2461929321289062,7.525062561035156,8.0
1,16.952530648897202,56.92878615976802,12.151685160031889,68.46158653585263,-0.5312168787940638,0.8276443481445312,0.04453277587890625,5.0
2,17.675849796166084,54.86142169657688,12.768064526171205,68.01933491738261,-3.5048960334256276,3.4141006469726562,0.4506072998046875,5.0
3,17.832307594421234,54.1987801360618,13.07895722589522,68.1851905360447,-1.3671180947083559,1.52587890625,0.0,5.0
4,17.670155355142235,57.39903768343561,12.317362534170968,68.32238886348321,2.0252178500447333,0.0,2.0757217407226562,5.0
5,18.4198893928691,57.8744578161659,12.397974162378421,69.20453902829999,1.9956727159183376,0.986297607421875,3.1349716186523438,5.0
6,19.177512257019988,53.5761523126907,12.613959970964494,68.97745525680746,-5.253571156292022,7.2831878662109375,1.4151992797851562,5.0
7,19.58264293488382,50.33960110710175,13.570851722004448,67.89119477673556,-6.434986294219819,6.9297027587890625,0.0,5.0
8,19.528901307722922,53.19239771721536,13.372628877513792,68.76170113805476,-0.4846674464654282,2.0880584716796875,1.1186065673828125,5.0
9,20.30573759755536,57.163268953966366,13.404241032029208,70.55501282838787,0.4646162603470743,3.5640716552734375,3.5791702270507812,5.0
10,20.25134952219547,52.75125580665007,13.129537007989978,69.21148348105962,-7.0677399094369555,7.370819091796875,0.7293167114257812,5.0
11,16.683897470270832,46.79539845071938,13.117348554457731,64.37648519030986,-7.449454510640705,5.9842071533203125,1.6677093505859375,5.0
12,15.822401536697736,43.50520920316836,13.161779111094301,61.17306215396839,0.3315714910918761,0.0,1.7741546630859375,1.0
13,14.727428695883287,42.17582868099944,13.503871559464654,60.127625372315066,1.331264685253449,1.1414031982421875,0.42906951904296875,1.0
14,14.579941018411116,41.55557740275456,13.61549918078811,59.676479970845165,0.8047600224331615,0.0043792724609375,0.9355697631835938,1.0
15,14.623001307555512,41.078510083909826,13.61338294064138,59.5258322710022,-1.4151727820201143,1.351165771484375,0.42226409912109375,1.0
16,14.758800592795644,41.23632863468136,13.251126043119449,58.91287911994743,-0.7325485382391203,1.79473876953125,1.5009918212890625,1.0
17,14.746582243655155,42.898115824632995,12.380156078387085,60.806059700821464,-4.627483072005923,5.723114013671875,0.3760986328125,5.0
18,15.366752006183575,44.96578054676695,12.365081684376303,62.72199337036213,-1.9534932031916028,2.7689056396484375,0.080322265625,5.0
19,16.23463765794057,46.197755635401435,12.199743690048553,64.09215111040591,-2.2010585250309536,1.8005218505859375,0.9073333740234375,5.0
20,16.986828776819973,48.39318621139526,12.36743082372696,65.8791666407685,-2.212071697534615,4.797210693359375,2.20758056640625,5.0
21,16.237617062577367,48.73215704670616,12.721597772195521,64.29881665681557,-3.46615923266632,4.7400970458984375,3.68450927734375,8.0
22,17.412377278388007,50.83462459358728,11.830829170050546,66.25672582441396,-6.674903696545906,7.4907989501953125,0.0,5.0
23,16.131374756554962,47.047130573900034,12.281145498370542,62.40597298006378,-18.42809829531563,0.3784332275390625,1.853302001953125,9.0
24,14.026063783789795,44.16280785392924,13.34866505817474,59.533223875621545,-15.839324583597786,1.8418731689453125,0.0,9.0
25,12.61657333242055,43.78030649761861,13.150686843208351,58.257862720431234,-14.409506798915501,1.2856292724609375,1.531890869140625,9.0
26,12.30498602356926,43.671193885012045,13.599148101749988,59.09453099070426,-9.163240166531445,0.4297027587890625,2.4227294921875,0.0
27,12.65042863422127,45.91172512686754,13.650057995059466,61.10969314270445,-8.725442446927929,0.4297027587890625,3.525238037109375,8.0
28,13.658078342151583,47.30033359994562,11.065475861456338,61.859324032657064,-9.407638211029216,0.4605255126953125,6.3796234130859375,8.0
29,13.835983460235795,50.30555258029904,12.678829627021065,63.6759189261721,-7.150348917342481,1.528656005859375,5.5424041748046875,8.0
30,14.241146753772771,52.12354984943562,12.496349762526142,66.1006290345875,1.0111279840196963,9.54107666015625,8.354995727539062,11.0
