,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.047615845046741545,1.475,1.0,1.0,1.0,1.0,2.0
1,0.15797968928643485,2.6187290969899664,1.0,1.0,2.0,3.0,5.0
2,0.11184343264510055,2.5584615384615383,1.0,1.0,2.0,3.0,5.0
3,0.0018831125159728293,1.12,1.0,1.0,1.0,1.0,1.6000000000000014
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.09321406954065506,2.0873493975903616,1.0,1.0,1.0,2.0,4.0
6,0.010827896966843768,1.2290076335877862,1.0,1.0,1.0,1.0,2.0
7,0.04055417311184343,1.8053892215568863,1.0,1.0,1.0,2.0,4.0
8,0.029591768108144463,1.301775147928994,1.0,1.0,1.0,1.0,2.0
9,0.179030197054274,3.651577503429355,1.0,1.0,2.0,4.0,8.0
10,0.08171363238953527,2.014925373134328,1.0,1.0,1.0,2.0,4.0
11,0.2368686529020109,4.446969696969697,1.0,1.0,3.0,6.0,11.0
12,0.0012778263501244198,1.1176470588235294,1.0,1.0,1.0,1.0,1.4000000000000004
13,0.001479588405407223,1.0476190476190477,1.0,1.0,1.0,1.0,1.0
