,B-SOiD labels,Start time (frames),Run lengths
0,1,0,2
1,2,2,8
2,7,10,1
3,10,11,1
4,1,12,2
5,11,14,1
6,2,15,5
7,12,20,1
8,2,21,2
9,7,23,1
10,5,24,2
11,9,26,1
12,0,27,1
13,3,28,3
14,6,31,7
15,1,38,7
16,11,45,1
17,1,46,2
18,0,48,2
19,1,50,6
20,10,56,1
21,1,57,5
22,10,62,1
23,1,63,1
24,11,64,3
25,2,67,4
26,11,71,3
27,1,74,1
28,5,75,8
29,8,83,1
30,1,84,1
31,5,85,1
32,1,86,3
33,8,89,2
34,11,91,8
35,8,99,1
36,5,100,2
37,8,102,2
38,5,104,6
39,1,110,10
40,10,120,1
41,1,121,1
42,8,122,1
43,5,123,2
44,1,125,1
45,5,126,1
46,9,127,2
47,5,129,3
48,9,132,5
49,11,137,2
50,1,139,5
51,0,144,1
52,8,145,4
53,1,149,1
54,8,150,1
55,11,151,2
56,1,153,5
57,7,158,3
58,2,161,4
59,7,165,2
60,9,167,11
61,8,178,3
62,5,181,3
63,11,184,2
64,5,186,2
65,8,188,2
66,11,190,1
67,5,191,4
68,11,195,2
69,5,197,3
70,11,200,3
71,5,203,3
72,1,206,3
73,5,209,7
74,11,216,18
75,0,234,1
76,5,235,7
77,14,242,1
78,9,243,13
79,10,256,2
80,9,258,10
81,2,268,2
82,9,270,3
83,6,273,1
84,5,274,2
85,0,276,2
86,5,278,4
87,9,282,1
88,8,283,10
89,5,293,13
90,11,306,2
91,1,308,2
92,5,310,1
93,8,311,1
94,0,312,1
95,5,313,1
96,0,314,2
97,11,316,3
98,12,319,1
99,6,320,1
100,0,321,5
101,1,326,1
102,6,327,1
103,1,328,4
104,7,332,3
105,10,335,3
106,7,338,7
107,9,345,5
108,5,350,2
109,9,352,1
110,5,353,3
111,8,356,2
112,11,358,5
113,8,363,1
114,9,364,2
115,8,366,2
116,11,368,22
117,3,390,2
118,0,392,5
119,9,397,1
120,8,398,1
121,0,399,1
122,1,400,1
123,5,401,1
124,8,402,4
125,5,406,4
126,8,410,2
127,5,412,2
128,1,414,1
129,5,415,2
130,8,417,1
131,5,418,2
132,1,420,1
133,8,421,1
134,5,422,1
135,8,423,1
136,5,424,4
137,11,428,1
138,5,429,2
139,0,431,1
140,6,432,1
141,11,433,5
142,1,438,4
143,11,442,2
144,1,444,3
145,7,447,1
146,2,448,2
147,7,450,1
148,10,451,2
149,7,453,1
150,1,454,1
151,9,455,2
152,7,457,5
153,2,462,5
154,7,467,2
155,9,469,14
156,11,483,24
157,8,507,2
158,1,509,1
159,5,510,2
160,9,512,2
161,8,514,5
162,5,519,4
163,8,523,1
164,5,524,2
165,1,526,1
166,0,527,1
167,1,528,3
168,5,531,7
169,1,538,8
170,10,546,3
171,1,549,2
172,10,551,1
173,1,552,1
174,9,553,9
175,11,562,11
176,8,573,3
177,11,576,21
178,1,597,6
179,5,603,1
180,1,604,2
181,7,606,3
182,10,609,5
183,1,614,2
184,10,616,8
185,7,624,2
186,2,626,4
187,11,630,4
188,1,634,1
189,11,635,3
190,8,638,2
191,0,640,1
192,9,641,1
193,7,642,2
194,1,644,1
195,7,645,10
196,2,655,1
197,11,656,1
198,2,657,4
199,11,661,26
200,0,687,1
201,5,688,2
202,9,690,2
203,1,692,1
204,5,693,1
205,9,694,3
206,8,697,3
207,1,700,2
208,5,702,1
209,9,703,2
210,1,705,8
211,5,713,1
212,9,714,1
213,5,715,2
214,9,717,6
215,8,723,1
216,11,724,6
217,8,730,1
218,11,731,25
219,5,756,4
220,0,760,1
221,9,761,3
222,5,764,2
223,0,766,1
224,9,767,1
225,5,768,1
226,0,769,1
227,8,770,1
228,11,771,3
229,6,774,1
230,11,775,1
231,1,776,7
232,0,783,1
233,11,784,2
234,2,786,3
235,7,789,3
236,10,792,1
237,2,793,1
238,11,794,4
239,7,798,1
240,2,799,1
241,7,800,1
242,1,801,3
243,11,804,3
244,1,807,5
245,10,812,1
246,1,813,1
247,10,814,9
248,1,823,1
249,5,824,2
250,1,826,2
251,9,828,2
252,0,830,1
253,1,831,2
254,7,833,2
255,2,835,5
256,11,840,1
257,2,841,1
258,10,842,2
259,2,844,3
260,11,847,23
261,8,870,4
262,1,874,2
263,11,876,5
264,6,881,1
265,0,882,1
266,5,883,1
267,1,884,3
268,0,887,2
269,5,889,3
270,0,892,3
271,2,895,1
272,0,896,1
273,1,897,1
274,5,898,3
275,1,901,1
276,11,902,9
277,5,911,10
278,1,921,5
279,11,926,2
280,1,928,1
281,5,929,5
282,1,934,1
283,6,935,1
284,2,936,2
285,7,938,5
286,2,943,2
287,10,945,3
288,11,948,22
289,1,970,6
290,7,976,1
291,10,977,5
292,7,982,3
293,10,985,2
294,1,987,2
295,11,989,2
296,6,991,2
297,11,993,19
298,1,1012,1
299,11,1013,45
300,8,1058,4
301,9,1062,2
302,5,1064,8
303,1,1072,2
304,0,1074,1
305,9,1075,5
306,0,1080,1
307,1,1081,5
308,0,1086,2
309,1,1088,1
310,7,1089,1
311,1,1090,1
312,9,1091,5
313,5,1096,2
314,8,1098,1
315,11,1099,14
316,1,1113,2
317,7,1115,2
318,10,1117,10
319,1,1127,1
320,10,1128,3
321,1,1131,1
322,10,1132,4
323,5,1136,1
324,9,1137,4
325,0,1141,1
326,1,1142,3
327,0,1145,1
328,2,1146,2
329,10,1148,2
330,2,1150,1
331,6,1151,1
332,11,1152,2
333,0,1154,1
334,1,1155,7
335,9,1162,4
336,1,1166,1
337,0,1167,1
338,8,1168,6
339,0,1174,1
340,9,1175,5
341,0,1180,1
342,8,1181,4
343,1,1185,6
344,5,1191,2
345,11,1193,1
346,8,1194,1
347,5,1195,13
348,1,1208,5
349,5,1213,1
350,9,1214,2
351,5,1216,1
352,1,1217,2
353,5,1219,3
354,8,1222,1
355,11,1223,25
356,0,1248,6
357,9,1254,2
358,5,1256,1
359,9,1257,2
360,5,1259,1
361,9,1260,1
362,5,1261,1
363,10,1262,3
364,9,1265,6
365,14,1271,3
366,10,1274,5
367,14,1279,1
368,9,1280,81
369,10,1361,1
370,14,1362,1
371,9,1363,11
372,5,1374,2
373,2,1376,1
374,0,1377,1
375,8,1378,5
376,5,1383,2
377,8,1385,1
378,11,1386,4
379,1,1390,1
380,8,1391,2
381,1,1393,3
382,11,1396,1
383,7,1397,1
384,10,1398,1
385,7,1399,2
386,10,1401,7
387,7,1408,3
388,2,1411,14
389,10,1425,4
390,1,1429,2
391,2,1431,2
392,0,1433,4
393,5,1437,1
394,11,1438,5
395,1,1443,1
396,11,1444,2
397,5,1446,7
398,1,1453,3
399,9,1456,3
400,7,1459,3
401,2,1462,2
402,7,1464,1
403,10,1465,1
404,1,1466,2
405,5,1468,7
406,1,1475,2
407,10,1477,5
408,7,1482,2
409,2,1484,5
410,0,1489,1
411,9,1490,6
412,1,1496,1
413,9,1497,2
414,2,1499,1
415,9,1500,21
416,8,1521,3
417,5,1524,13
418,1,1537,1
419,11,1538,6
420,1,1544,1
421,0,1545,1
422,9,1546,1
423,0,1547,1
424,1,1548,1
425,5,1549,1
426,9,1550,1
427,5,1551,2
428,8,1553,2
429,1,1555,1
430,5,1556,1
431,1,1557,13
432,2,1570,3
433,10,1573,3
434,7,1576,1
435,10,1577,1
436,7,1578,3
437,2,1581,3
438,7,1584,2
439,2,1586,10
440,7,1596,1
441,9,1597,8
442,0,1605,1
443,7,1606,2
444,2,1608,1
445,7,1609,1
446,1,1610,1
447,9,1611,5
448,11,1616,24
449,8,1640,1
450,5,1641,2
451,11,1643,2
452,3,1645,1
453,11,1646,2
454,0,1648,3
455,9,1651,1
456,5,1652,2
457,0,1654,1
458,8,1655,4
459,0,1659,1
460,9,1660,2
461,0,1662,1
462,8,1663,2
463,0,1665,1
464,1,1666,3
465,5,1669,1
466,8,1670,3
467,1,1673,2
468,5,1675,8
469,0,1683,3
470,11,1686,2
471,0,1688,1
472,2,1689,3
473,7,1692,1
474,2,1693,1
475,7,1694,5
476,2,1699,6
477,7,1705,1
478,9,1706,7
479,5,1713,7
480,11,1720,21
481,0,1741,1
482,5,1742,3
483,10,1745,1
484,3,1746,2
485,10,1748,7
486,2,1755,3
487,9,1758,1
488,10,1759,5
489,5,1764,1
490,11,1765,1
491,3,1766,1
492,0,1767,1
493,10,1768,4
494,5,1772,2
495,10,1774,2
496,5,1776,1
497,9,1777,1
498,11,1778,5
499,8,1783,5
500,11,1788,5
501,0,1793,3
502,2,1796,5
503,6,1801,1
504,11,1802,2
505,5,1804,4
506,9,1808,3
507,5,1811,2
508,10,1813,4
509,9,1817,2
510,5,1819,2
511,9,1821,1
512,8,1822,5
513,0,1827,3
514,8,1830,3
515,0,1833,2
516,3,1835,1
517,2,1836,2
518,7,1838,2
519,1,1840,1
520,7,1841,1
521,1,1842,1
522,5,1843,3
523,11,1846,1
524,1,1847,2
525,5,1849,4
526,11,1853,2
527,1,1855,3
528,5,1858,1
529,1,1859,1
530,11,1860,2
531,1,1862,3
532,9,1865,4
533,5,1869,2
534,1,1871,1
535,5,1872,3
536,11,1875,2
537,2,1877,2
538,11,1879,4
539,12,1883,2
540,11,1885,3
541,1,1888,3
542,7,1891,7
543,10,1898,4
544,7,1902,7
545,9,1909,5
546,1,1914,1
547,10,1915,2
548,7,1917,7
549,2,1924,4
550,11,1928,2
551,0,1930,1
552,10,1931,2
553,2,1933,5
554,11,1938,6
555,5,1944,1
556,11,1945,2
557,5,1947,23
558,1,1970,1
559,5,1971,2
560,1,1973,2
561,7,1975,2
562,1,1977,1
563,2,1978,2
564,9,1980,7
565,2,1987,4
566,1,1991,2
567,7,1993,1
568,10,1994,2
569,7,1996,3
570,10,1999,1
571,7,2000,1
572,2,2001,4
573,9,2005,13
574,2,2018,1
575,1,2019,14
576,2,2033,1
577,9,2034,1
578,2,2035,2
579,10,2037,1
580,7,2038,3
581,2,2041,1
582,12,2042,1
583,11,2043,35
584,1,2078,2
585,5,2080,5
586,1,2085,19
587,9,2104,3
588,7,2107,1
589,0,2108,3
590,2,2111,3
591,11,2114,1
592,12,2115,1
593,2,2116,6
594,11,2122,11
595,5,2133,4
596,8,2137,2
597,5,2139,4
598,8,2143,2
599,5,2145,3
600,9,2148,1
601,5,2149,1
602,9,2150,4
603,5,2154,3
604,1,2157,2
605,10,2159,2
606,7,2161,3
607,10,2164,4
608,7,2168,5
609,1,2173,9
610,5,2182,4
611,1,2186,2
612,2,2188,1
613,7,2189,1
614,2,2190,8
615,10,2198,3
616,11,2201,27
617,5,2228,3
618,11,2231,2
619,0,2233,3
620,11,2236,7
621,1,2243,1
622,5,2244,7
623,1,2251,1
624,11,2252,2
625,1,2254,2
626,5,2256,3
627,1,2259,3
628,10,2262,7
629,1,2269,7
630,10,2276,4
631,5,2280,2
632,10,2282,8
633,1,2290,2
634,11,2292,4
635,1,2296,1
636,11,2297,3
637,5,2300,1
638,8,2301,2
639,5,2303,1
640,11,2304,35
641,2,2339,4
642,9,2343,1
643,1,2344,1
644,2,2345,3
645,11,2348,11
646,1,2359,3
647,9,2362,3
648,0,2365,1
649,1,2366,1
650,8,2367,2
651,11,2369,1
652,1,2370,1
653,10,2371,1
654,1,2372,1
655,7,2373,2
656,1,2375,2
657,0,2377,4
658,2,2381,2
659,10,2383,3
660,2,2386,6
661,7,2392,1
662,1,2393,1
663,9,2394,3
664,7,2397,1
665,2,2398,6
666,7,2404,2
667,10,2406,3
668,1,2409,1
669,11,2410,2
670,2,2412,4
671,12,2416,2
672,0,2418,2
673,3,2420,2
674,6,2422,1
675,0,2423,3
676,11,2426,1
677,1,2427,22
678,10,2449,3
679,7,2452,9
680,10,2461,18
681,11,2479,3
682,2,2482,2
683,7,2484,1
684,11,2485,7
685,1,2492,5
686,11,2497,19
687,8,2516,2
688,0,2518,1
689,8,2519,4
690,1,2523,1
691,5,2524,1
692,1,2525,1
693,5,2526,4
694,1,2530,3
695,5,2533,4
696,1,2537,7
697,10,2544,1
698,1,2545,1
699,10,2546,6
700,1,2552,1
701,10,2553,2
702,5,2555,2
703,1,2557,1
704,9,2558,1
705,1,2559,1
706,9,2560,6
707,11,2566,12
708,0,2578,1
709,5,2579,2
710,1,2581,1
711,5,2582,1
712,11,2583,2
713,1,2585,1
714,5,2586,4
715,1,2590,2
716,11,2592,2
717,1,2594,1
718,11,2595,1
719,2,2596,12
720,7,2608,1
721,10,2609,1
722,9,2610,18
723,5,2628,4
724,11,2632,19
725,5,2651,1
726,11,2652,11
727,1,2663,1
728,6,2664,2
729,1,2666,5
730,11,2671,1
731,6,2672,2
732,11,2674,1
733,6,2675,2
734,11,2677,20
735,6,2697,1
736,0,2698,4
737,2,2702,2
738,6,2704,1
739,2,2705,3
740,0,2708,1
741,11,2709,4
742,1,2713,3
