,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.061164655927748196,1.9247083775185578,1.0,1.0,1.0,2.0,4.0
1,0.11521870998180225,2.2288135593220337,1.0,1.0,1.0,2.0,4.0
2,0.16030868774010917,3.0990228013029317,1.0,1.0,1.0,4.0,8.0
3,0.0037743479139987868,1.5774647887323943,1.0,1.0,1.0,1.0,3.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.112859742535553,2.8285472972972974,1.0,1.0,1.0,2.0,6.0
6,0.012906921884477994,1.563265306122449,1.0,1.0,1.0,1.0,2.0
7,0.06413021500303295,2.133408071748879,1.0,1.0,1.0,2.0,4.0
8,0.02904899912381209,1.4390651085141903,1.0,1.0,1.0,2.0,2.0
9,0.12448608209206713,3.2661361626878866,1.0,1.0,1.0,4.0,8.0
10,0.09351620947630923,2.371794871794872,1.0,1.0,1.0,2.0,5.0
11,0.21510413156298444,4.2724230254350735,1.0,1.0,1.0,4.0,12.0
12,0.0023926669811956593,1.2241379310344827,1.0,1.0,1.0,1.0,2.0
13,0.0028981600053919255,1.3650793650793651,1.0,1.0,1.0,1.0,2.0
