,B-SOiD labels,Start time (frames),Run lengths
0,0,0,2
1,11,2,1
2,9,3,1
3,11,4,1
4,8,5,1
5,11,6,2
6,1,8,1
7,11,9,1
8,5,10,2
9,9,12,2
10,8,14,4
11,5,18,4
12,1,22,1
13,5,23,1
14,11,24,2
15,5,26,14
16,1,40,1
17,5,41,1
18,2,42,1
19,6,43,1
20,7,44,2
21,3,46,1
22,7,47,1
23,2,48,2
24,6,50,2
25,11,52,1
26,12,53,1
27,2,54,6
28,1,60,1
29,2,61,1
30,11,62,8
31,5,70,9
32,8,79,1
33,5,80,4
34,1,84,2
35,5,86,1
36,1,87,1
37,5,88,4
38,1,92,1
39,5,93,3
40,11,96,6
41,5,102,1
42,11,103,2
43,5,105,1
44,11,106,40
45,5,146,1
46,8,147,1
47,5,148,34
48,11,182,1
49,5,183,1
50,11,184,2
51,5,186,1
52,11,187,2
53,5,189,1
54,11,190,8
55,5,198,1
56,11,199,1
57,5,200,10
58,11,210,1
59,5,211,1
60,11,212,2
61,5,214,1
62,11,215,1
63,5,216,2
64,11,218,42
65,5,260,8
66,1,268,4
67,11,272,4
68,5,276,1
69,11,277,2
70,5,279,2
71,11,281,1
72,5,282,12
73,1,294,1
74,5,295,2
75,1,297,1
76,5,298,9
77,8,307,1
78,5,308,2
79,0,310,4
80,11,314,4
81,2,318,1
82,11,319,49
83,5,368,4
84,8,372,1
85,5,373,2
86,8,375,1
87,5,376,2
88,11,378,1
89,8,379,1
90,5,380,24
91,10,404,1
92,5,405,1
93,10,406,18
94,7,424,2
95,2,426,2
96,9,428,8
97,5,436,2
98,0,438,4
99,1,442,2
100,5,444,1
101,0,445,1
102,8,446,4
103,5,450,1
104,8,451,1
105,5,452,22
106,7,474,1
107,1,475,1
108,2,476,4
109,7,480,2
110,2,482,4
111,6,486,1
112,2,487,7
113,9,494,6
114,5,500,1
115,8,501,1
116,11,502,1
117,5,503,1
118,11,504,2
119,9,506,1
120,11,507,1
121,5,508,1
122,9,509,2
123,5,511,1
124,8,512,2
125,11,514,24
126,8,538,2
127,11,540,4
128,8,544,1
129,11,545,1
130,5,546,1
131,8,547,1
132,5,548,6
133,9,554,1
134,5,555,1
135,9,556,2
136,5,558,1
137,9,559,1
138,5,560,2
139,11,562,1
140,8,563,1
141,9,564,1
142,8,565,1
143,11,566,1
144,9,567,1
145,11,568,12
146,0,580,1
147,11,581,1
148,9,582,2
149,5,584,1
150,9,585,1
151,8,586,1
152,5,587,1
153,8,588,6
154,5,594,6
155,8,600,1
156,5,601,1
157,11,602,1
158,8,603,1
159,5,604,4
160,11,608,1
161,5,609,5
162,11,614,1
163,5,615,1
164,11,616,14
165,8,630,1
166,1,631,1
167,5,632,1
168,8,633,3
169,5,636,1
170,8,637,1
171,5,638,8
172,1,646,1
173,5,647,1
174,11,648,4
175,0,652,1
176,11,653,1
177,1,654,2
178,2,656,1
179,0,657,1
180,2,658,4
181,11,662,38
182,8,700,1
183,11,701,1
184,8,702,2
185,1,704,4
186,11,708,1
187,0,709,1
188,11,710,2
189,1,712,1
190,11,713,1
191,1,714,2
192,10,716,1
193,1,717,2
194,10,719,1
195,9,720,8
196,0,728,1
197,2,729,1
198,1,730,1
199,0,731,1
200,1,732,2
201,5,734,4
202,8,738,2
203,5,740,4
204,1,744,1
205,5,745,1
206,11,746,6
207,0,752,1
208,11,753,1
209,1,754,2
210,0,756,4
211,8,760,1
212,1,761,1
213,9,762,1
214,11,763,1
215,9,764,4
216,10,768,3
217,2,771,1
218,10,772,2
219,2,774,1
220,10,775,1
221,7,776,1
222,2,777,2
223,7,779,1
224,2,780,2
225,11,782,8
226,5,790,1
227,1,791,1
228,5,792,12
229,1,804,6
230,9,810,4
231,5,814,12
232,0,826,2
233,5,828,6
234,9,834,1
235,5,835,1
236,9,836,5
237,1,841,1
238,9,842,4
239,2,846,6
240,10,852,2
241,2,854,2
242,10,856,2
243,2,858,1
244,10,859,1
245,12,860,1
246,2,861,1
247,11,862,34
248,1,896,1
249,11,897,25
250,0,922,1
251,11,923,1
252,1,924,2
253,0,926,10
254,2,936,4
255,0,940,4
256,11,944,1
257,1,945,1
258,11,946,4
259,5,950,1
260,11,951,2
261,5,953,1
262,11,954,2
263,5,956,1
264,11,957,1
265,5,958,6
266,11,964,1
267,5,965,1
268,11,966,2
269,2,968,1
270,6,969,1
271,11,970,1
272,12,971,1
273,11,972,27
274,8,999,1
275,11,1000,10
276,5,1010,4
277,9,1014,2
278,0,1016,1
279,9,1017,1
280,0,1018,1
281,8,1019,1
282,2,1020,6
283,9,1026,6
284,0,1032,1
285,9,1033,13
286,5,1046,1
287,9,1047,2
288,5,1049,1
289,11,1050,4
290,8,1054,1
291,11,1055,2
292,8,1057,1
293,11,1058,18
294,8,1076,4
295,0,1080,1
296,8,1081,1
297,5,1082,4
298,8,1086,1
299,5,1087,1
300,9,1088,2
301,0,1090,1
302,3,1091,1
303,11,1092,4
304,6,1096,1
305,11,1097,1
306,0,1098,8
307,5,1106,1
308,0,1107,1
309,5,1108,4
310,8,1112,2
311,5,1114,2
312,1,1116,1
313,5,1117,1
314,1,1118,4
315,11,1122,2
316,1,1124,4
317,0,1128,2
318,7,1130,1
319,1,1131,1
320,7,1132,4
321,9,1136,6
322,5,1142,1
323,9,1143,1
324,11,1144,1
325,8,1145,1
326,11,1146,29
327,6,1175,1
328,1,1176,1
329,11,1177,1
330,1,1178,30
331,0,1208,1
332,1,1209,2
333,7,1211,1
334,10,1212,1
335,1,1213,2
336,10,1215,3
337,2,1218,2
338,9,1220,4
339,2,1224,1
340,9,1225,1
341,2,1226,2
342,9,1228,1
343,2,1229,1
344,9,1230,6
345,1,1236,2
346,2,1238,1
347,1,1239,1
348,7,1240,1
349,2,1241,1
350,7,1242,2
351,2,1244,1
352,7,1245,1
353,11,1246,14
354,8,1260,1
355,11,1261,1
356,1,1262,1
357,8,1263,1
358,9,1264,1
359,5,1265,1
360,1,1266,1
361,9,1267,1
362,1,1268,2
363,10,1270,1
364,1,1271,1
365,7,1272,2
366,9,1274,1
367,2,1275,4
368,7,1279,1
369,2,1280,6
370,11,1286,1
371,2,1287,1
372,11,1288,20
373,5,1308,1
374,8,1309,1
375,5,1310,4
376,2,1314,1
377,11,1315,1
378,10,1316,1
379,2,1317,1
380,10,1318,2
381,2,1320,2
382,10,1322,1
383,2,1323,1
384,11,1324,22
385,1,1346,2
386,9,1348,1
387,7,1349,1
388,9,1350,2
389,5,1352,1
390,9,1353,1
391,1,1354,1
392,5,1355,1
393,1,1356,6
394,8,1362,1
395,5,1363,1
396,11,1364,2
397,5,1366,1
398,11,1367,2
399,8,1369,1
400,11,1370,6
401,5,1376,3
402,1,1379,1
403,5,1380,8
404,1,1388,1
405,5,1389,1
406,1,1390,10
407,2,1400,1
408,10,1401,1
409,2,1402,2
410,1,1404,1
411,7,1405,1
412,1,1406,2
413,5,1408,8
414,9,1416,6
415,8,1422,1
416,9,1423,1
417,8,1424,2
418,11,1426,2
419,0,1428,1
420,11,1429,1
421,0,1430,2
422,9,1432,3
423,13,1435,1
424,9,1436,4
425,0,1440,3
426,2,1443,9
427,1,1452,1
428,2,1453,1
429,0,1454,1
430,1,1455,1
431,10,1456,6
432,11,1462,1
433,10,1463,1
434,11,1464,26
435,5,1490,1
436,11,1491,1
437,5,1492,2
438,1,1494,5
439,5,1499,1
440,11,1500,2
441,10,1502,1
442,1,1503,1
443,10,1504,2
444,11,1506,2
445,2,1508,1
446,11,1509,1
447,10,1510,2
448,2,1512,1
449,10,1513,1
450,11,1514,22
451,1,1536,1
452,11,1537,1
453,2,1538,4
454,9,1542,1
455,2,1543,1
456,9,1544,8
457,2,1552,4
458,10,1556,2
459,11,1558,1
460,2,1559,1
461,11,1560,11
462,0,1571,1
463,11,1572,13
464,8,1585,1
465,11,1586,2
466,0,1588,1
467,8,1589,1
468,9,1590,1
469,5,1591,1
470,9,1592,2
471,8,1594,2
472,9,1596,4
473,5,1600,1
474,9,1601,1
475,8,1602,1
476,5,1603,1
477,11,1604,1
478,8,1605,1
479,11,1606,12
480,0,1618,2
481,5,1620,2
482,11,1622,1
483,5,1623,2
484,11,1625,1
485,5,1626,4
486,1,1630,1
487,5,1631,1
488,11,1632,2
489,1,1634,1
490,11,1635,1
491,1,1636,6
492,10,1642,1
493,1,1643,2
494,10,1645,1
495,1,1646,2
496,2,1648,1
497,1,1649,1
498,2,1650,2
499,9,1652,1
500,2,1653,3
501,9,1656,1
502,2,1657,1
503,9,1658,2
504,0,1660,1
505,10,1661,1
506,6,1662,2
507,0,1664,2
508,2,1666,2
509,11,1668,1
510,2,1669,1
511,1,1670,1
512,11,1671,1
513,1,1672,4
514,2,1676,1
515,11,1677,1
516,2,1678,2
517,7,1680,4
518,10,1684,4
519,2,1688,1
520,7,1689,1
521,2,1690,3
522,7,1693,1
523,2,1694,2
524,7,1696,1
525,2,1697,2
526,7,1699,1
527,10,1700,1
528,7,1701,2
529,10,1703,1
530,7,1704,6
531,9,1710,1
532,7,1711,1
533,1,1712,2
534,9,1714,10
535,8,1724,6
536,5,1730,1
537,8,1731,1
538,5,1732,2
539,11,1734,1
540,8,1735,1
541,11,1736,1
542,8,1737,1
543,11,1738,8
544,5,1746,1
545,8,1747,1
546,1,1748,1
547,5,1749,1
548,11,1750,2
549,1,1752,2
550,9,1754,1
551,1,1755,2
552,9,1757,1
553,2,1758,2
554,9,1760,12
555,5,1772,1
556,9,1773,1
557,11,1774,18
558,0,1792,6
559,9,1798,1
560,0,1799,1
561,10,1800,1
562,0,1801,1
563,10,1802,4
564,2,1806,2
565,9,1808,2
566,0,1810,1
567,9,1811,2
568,2,1813,1
569,10,1814,1
570,9,1815,1
571,10,1816,6
572,11,1822,4
573,6,1826,1
574,11,1827,1
575,0,1828,1
576,6,1829,3
577,3,1832,1
578,6,1833,3
579,11,1836,8
580,9,1844,2
581,1,1846,2
582,9,1848,1
583,10,1849,1
584,9,1850,6
585,1,1856,1
586,9,1857,1
587,1,1858,2
588,9,1860,6
589,8,1866,1
590,5,1867,1
591,8,1868,4
592,5,1872,4
593,11,1876,1
594,5,1877,2
595,11,1879,1
596,5,1880,9
597,1,1889,1
598,5,1890,1
599,0,1891,1
600,1,1892,1
601,5,1893,1
602,1,1894,3
603,5,1897,1
604,7,1898,1
605,1,1899,1
606,2,1900,1
607,7,1901,1
608,11,1902,2
609,12,1904,2
610,2,1906,2
611,6,1908,1
612,2,1909,1
613,6,1910,28
614,9,1938,1
615,6,1939,1
616,9,1940,6
617,1,1946,1
618,0,1947,1
619,1,1948,2
620,5,1950,6
621,11,1956,1
622,5,1957,1
623,11,1958,26
624,5,1984,2
625,9,1986,1
626,5,1987,1
627,9,1988,2
628,8,1990,1
629,9,1991,1
630,11,1992,2
631,10,1994,1
632,6,1995,1
633,10,1996,2
634,1,1998,1
635,10,1999,1
636,9,2000,3
637,0,2003,1
638,9,2004,4
639,5,2008,2
640,11,2010,32
641,0,2042,1
642,6,2043,1
643,9,2044,2
644,8,2046,2
645,0,2048,4
646,8,2052,2
