Type,Features,,,,,,,SVM classifier
Frame@10Hz,Relative snout to forepaws placement,Relative snout to hind paws placement,Inter-forepaw distance,Body length,Body angle,Snout displacement,Tail-base displacement,B-SOiD labels
0,15.238841046674803,47.94840211225967,12.314918739117372,63.24936069876465,1.5784762314611933,8.7635498046875,7.884674072265625,11.0
1,16.74922845195187,49.15088885526272,12.488919264658069,63.74954349872651,-2.765393163539855,0.0,0.0,5.0
2,14.599287672509362,46.825693617940225,12.294812739391656,61.94952383559753,-14.848714467663925,2.832611083984375,0.6902008056640625,9.0
3,13.047569786085557,44.02202150319073,12.727396521099887,58.388510184518296,-17.22727164997839,8.569511413574219,0.75909423828125,9.0
4,12.663958610232338,42.1881637743291,13.172926594789725,57.07057290081454,-16.43084499272959,6.048942565917969,2.832275390625,9.0
5,15.615370391712545,43.727269526322196,12.677357615395271,59.56143440358372,-12.681270286488768,0.36286163330078125,6.0015716552734375,8.0
6,16.104478922680183,46.6160337742693,12.85164161591303,63.6344223918683,-11.659522970625638,0.4435577392578125,8.529800415039062,8.0
7,15.075550284383521,49.3567192519756,13.426309829819518,66.8766727039905,-8.050004248516695,0.28211212158203125,7.5762481689453125,8.0
8,12.813557502453154,46.682075494168444,13.423425396174599,61.297441449080054,-5.018341448004593,0.3331451416015625,6.5516204833984375,8.0
9,11.801168673234557,49.22632477712001,12.914566186718199,62.01308955620384,-7.0956388743535665,0.13922119140625,7.0624237060546875,8.0
10,11.307113072567176,49.3871659539439,12.771160751481212,60.283441154502896,-5.8098353648900485,0.0,6.1988983154296875,8.0
11,11.632563488669089,48.12630993528253,13.490388879733828,59.88959328015203,-9.312828897092068,5.661705017089844,3.999114990234375,8.0
12,12.61486221643932,42.85374852006734,13.952309552828005,57.204987010184084,-20.096761310541485,12.172660827636719,5.610504150390625,9.0
13,13.98246219457657,37.682027717655316,13.13356817560356,53.80666874852979,-16.601941338953633,12.375564575195312,0.0,9.0
14,15.380598217587703,41.41784808809547,11.68978700903029,59.04281257072061,-10.303569387162302,12.279937744140625,2.8800811767578125,9.0
15,16.556745921460546,46.03704551099122,11.267890519597996,61.8364449592994,-14.182899171833988,13.790725708007812,5.490509033203125,9.0
16,16.27107609387723,44.330657763916975,12.268862415557479,61.182276971884136,-16.473215412252543,12.050628662109375,7.6955108642578125,9.0
17,13.565012161005377,42.613894992765424,11.613132894666329,60.13505790678,-12.020847911775753,11.43109130859375,12.219894409179688,11.0
18,10.578185894950927,42.26347701920311,10.940192366486716,60.2564080268173,-4.165746630985704,14.675277709960938,17.078750610351562,11.0
19,11.31470426803023,42.85094303754724,12.312601883954752,61.96962841664833,-1.1726191380922273,16.72430419921875,14.96929931640625,11.0
20,12.26527978322045,47.56351074150853,11.296680737518301,63.933183068857154,-2.0031649596653325,18.150558471679688,16.583084106445312,11.0
21,10.009723135360794,45.16129739011536,12.345776013263533,64.36959714436924,-1.9374117068393477,19.586105346679688,21.379425048828125,11.0
22,12.792462066381315,47.35324038101198,12.118628532894297,64.59820554399539,5.1270240568892405,18.478057861328125,14.681686401367188,11.0
23,13.59035895261514,47.06617624650637,12.42832698256218,65.27731679177974,-5.690880157606535,16.08465576171875,17.220977783203125,11.0
24,11.728430631793252,44.08812256919548,12.574687678539867,63.50198393777056,-3.081505606220867,13.137786865234375,16.68548583984375,11.0
25,11.813436661540845,48.08811113940066,11.806859925781577,65.08304887107273,-0.3935362845347931,14.57269287109375,11.999053955078125,11.0
26,11.075625302412913,50.81676927828273,12.729865342783931,66.39422833568568,-1.4068585860186678,20.00506591796875,20.396697998046875,11.0
27,13.678255966954755,49.86210361925255,13.697673776464342,68.22850749861433,1.8455440935961742,12.637908935546875,10.029205322265625,11.0
28,14.808197979513178,51.82701193076018,13.905619230929913,67.60769195919212,4.754504979711234,12.222747802734375,10.561126708984375,11.0
29,16.789344601123236,50.944008205708684,14.831246484645648,68.34751291782055,0.5354076482202401,9.662567138671875,9.399688720703125,11.0
30,15.529959159461406,50.41290221370066,14.667413381251643,66.04060829084875,0.8854525776647352,2.63623046875,4.826904296875,5.0
31,14.563867548406058,49.89337898021474,13.024483366920531,64.41027407987423,7.513604167132591,0.892669677734375,0.949981689453125,1.0
32,13.738473492092464,47.91397761003441,13.339656464261125,62.444082833815685,6.620466504902229,0.97467041015625,2.134674072265625,1.0
33,13.300720196550554,43.508806370155334,14.49904304761041,60.94691311875258,3.2636219435175926,0.040283203125,1.934478759765625,1.0
34,13.43101059845895,42.11702771948268,14.201777334233503,59.15341057346127,0.7993173324120503,0.168121337890625,1.21661376953125,1.0
35,13.940894404689008,41.12048910844544,13.311769614213492,58.57578072068213,-4.498469052152941,0.31915283203125,0.037872314453125,1.0
36,14.814780295646027,42.05813864782434,13.301071642992794,59.64410443423194,-4.868468143928073,1.674713134765625,0.0,1.0
37,15.334683966822006,43.355896984512455,14.005396830885278,61.1254739094797,-3.702665334898713,0.293914794921875,0.32647705078125,1.0
38,14.598160781789979,42.61470093906588,14.024486575679186,60.46736652891311,-3.0849053750124837,1.550262451171875,0.402069091796875,1.0
39,12.837359586880176,39.53708093090689,14.540750049853596,58.48075542526311,-9.647222181410399,3.3143310546875,1.5849609375,1.0
