,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.05239088035510122,1.5009633911368014,1.0,1.0,1.0,2.0,2.1999999999999886
1,0.14849687268814313,2.2348178137651824,1.0,1.0,1.0,3.0,4.0
2,0.1665882036451678,2.9664670658682635,1.0,1.0,2.0,4.0,6.0
3,0.002421144663393638,1.0588235294117647,1.0,1.0,1.0,1.0,1.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.08433653910821172,1.9322033898305084,1.0,1.0,1.0,2.0,3.0
6,0.010827896966843768,1.15,1.0,1.0,1.0,1.0,1.0
7,0.07814916941287242,2.1204379562043796,1.0,1.0,1.0,2.0,4.0
8,0.03140762660568969,1.3695014662756597,1.0,1.0,1.0,2.0,2.0
9,0.18689891721030333,3.544642857142857,1.0,1.0,2.0,4.0,7.0
10,0.09281054543008944,2.331081081081081,1.0,1.0,1.0,3.0,4.0
11,0.1401573744031206,2.9942528735632186,1.0,1.0,2.0,3.25,7.0
12,0.0031609388660972493,1.0444444444444445,1.0,1.0,1.0,1.0,1.0
13,0.0008743022395588136,1.0833333333333333,1.0,1.0,1.0,1.0,1.0
