,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.05175196718003901,2.054739652870494,1.0,1.0,1.0,2.0,4.0
1,0.14802609455914992,3.287528005974608,1.0,1.0,2.0,4.0,7.0
2,0.16752975990315422,4.893909626719057,1.0,2.0,3.0,6.0,10.0
3,0.002118501580469433,1.3125,1.0,1.0,1.0,1.25,2.0
4,3.362700921380053e-05,1.0,1.0,1.0,1.0,1.0,1.0
5,0.08423565808057032,3.0035971223021583,1.0,1.0,2.0,4.0,6.0
6,0.011634945187974982,1.4476987447698744,1.0,1.0,1.0,2.0,2.0
7,0.0769049700719618,3.348462664714495,1.0,1.0,2.0,4.0,7.0
8,0.030903221467482683,1.8948453608247422,1.0,1.0,1.0,2.0,4.0
9,0.18797498150514494,6.115973741794311,1.0,2.0,3.0,7.0,12.0
10,0.09398749075257247,3.6631716906946266,1.0,1.0,2.0,4.0,7.0
11,0.13928307216356178,5.082208588957055,1.0,2.0,3.0,6.0,12.0
12,0.0031945658753110497,1.3013698630136987,1.0,1.0,1.0,1.0,2.0
13,0.0010424372856278163,1.3478260869565217,1.0,1.0,1.0,1.5,2.0
14,0.0013787073777658215,2.2777777777777777,1.0,1.0,1.0,2.0,3.0
