,B-SOiD labels,Start time (frames),Run lengths
0,2,0,2
1,9,2,1
2,2,3,1
3,9,4,7
4,2,11,2
5,9,13,1
6,2,14,1
7,7,15,1
8,2,16,6
9,11,22,6
10,5,28,1
11,11,29,1
12,5,30,4
13,11,34,1
14,5,35,1
15,11,36,2
16,5,38,4
17,11,42,1
18,5,43,1
19,11,44,42
20,5,86,8
21,1,94,1
22,5,95,2
23,1,97,2
24,5,99,1
25,1,100,4
26,11,104,1
27,8,105,1
28,5,106,1
29,11,107,1
30,5,108,2
31,11,110,1
32,5,111,1
33,11,112,2
34,2,114,4
35,11,118,1
36,2,119,1
37,11,120,34
38,8,154,5
39,5,159,2
40,8,161,1
41,5,162,4
42,1,166,4
43,11,170,2
44,10,172,1
45,2,173,1
46,11,174,1
47,10,175,1
48,11,176,10
49,9,186,1
50,0,187,1
51,5,188,2
52,0,190,1
53,9,191,1
54,1,192,2
55,9,194,2
56,0,196,2
57,8,198,2
58,5,200,8
59,11,208,1
60,1,209,1
61,2,210,6
62,11,216,4
63,1,220,1
64,11,221,1
65,5,222,6
66,1,228,1
67,5,229,1
68,1,230,4
69,5,234,8
70,11,242,2
71,10,244,1
72,11,245,1
73,10,246,2
74,11,248,1
75,10,249,1
76,11,250,22
77,0,272,1
78,6,273,1
79,0,274,1
80,8,275,1
81,9,276,1
82,0,277,1
83,9,278,2
84,8,280,1
85,0,281,1
86,8,282,4
87,5,286,4
88,11,290,1
89,8,291,1
90,5,292,1
91,8,293,1
92,5,294,2
93,1,296,1
94,5,297,1
95,11,298,1
96,1,299,1
97,11,300,22
98,1,322,4
99,2,326,1
100,7,327,1
101,11,328,4
102,5,332,1
103,11,333,1
104,5,334,6
105,11,340,1
106,5,341,1
107,11,342,4
108,8,346,1
109,11,347,1
110,1,348,1
111,8,349,2
112,1,351,1
113,9,352,1
114,8,353,1
115,5,354,1
116,8,355,1
117,5,356,16
118,0,372,1
119,5,373,2
120,0,375,1
121,5,376,2
122,1,378,2
123,9,380,1
124,1,381,1
125,10,382,1
126,9,383,1
127,1,384,2
128,2,386,4
129,10,390,4
130,11,394,14
131,2,408,1
132,11,409,2
133,2,411,1
134,11,412,16
135,5,428,1
136,8,429,1
137,9,430,1
138,5,431,1
139,11,432,1
140,8,433,3
141,5,436,4
142,1,440,1
143,5,441,1
144,8,442,3
145,0,445,1
146,1,446,1
147,8,447,1
148,1,448,4
149,9,452,1
150,5,453,1
151,1,454,6
152,2,460,1
153,0,461,1
154,2,462,4
155,6,466,1
156,11,467,1
157,10,468,2
158,2,470,1
159,10,471,1
160,2,472,4
161,11,476,1
162,2,477,5
163,11,482,1
164,2,483,1
165,11,484,6
166,5,490,8
167,9,498,2
168,5,500,2
169,1,502,12
170,6,514,1
171,7,515,1
172,6,516,2
173,11,518,2
174,1,520,1
175,11,521,1
176,5,522,1
177,1,523,1
178,5,524,2
179,11,526,2
180,5,528,4
181,1,532,1
182,5,533,1
183,1,534,2
184,7,536,1
185,1,537,1
186,2,538,1
187,7,539,1
188,9,540,1
189,10,541,1
190,9,542,26
191,2,568,2
192,10,570,2
193,11,572,1
194,10,573,1
195,11,574,34
196,5,608,2
197,11,610,1
198,5,611,1
199,11,612,2
200,10,614,1
201,2,615,1
202,11,616,10
203,6,626,1
204,11,627,1
205,3,628,2
206,6,630,1
207,2,631,1
208,6,632,2
209,0,634,2
210,8,636,7
211,5,643,1
212,8,644,2
213,5,646,16
214,1,662,2
215,11,664,4
216,2,668,2
217,11,670,1
218,0,671,2
219,11,673,1
220,0,674,6
221,1,680,4
222,10,684,1
223,1,685,1
224,2,686,4
225,10,690,1
226,2,691,1
227,11,692,14
228,8,706,8
229,11,714,2
230,8,716,1
231,11,717,1
232,1,718,2
233,5,720,2
234,1,722,2
235,9,724,2
236,0,726,4
237,1,730,4
238,2,734,1
239,10,735,1
240,7,736,1
241,2,737,1
242,7,738,2
243,2,740,1
244,7,741,1
245,2,742,4
246,11,746,8
247,0,754,1
248,11,755,1
249,9,756,1
250,0,757,1
251,11,758,1
252,8,759,1
253,5,760,2
254,10,762,2
255,5,764,2
256,9,766,2
257,8,768,4
258,5,772,2
259,11,774,1
260,1,775,2
261,11,777,1
262,5,778,6
263,1,784,2
264,9,786,2
265,1,788,1
266,9,789,2
267,1,791,1
268,9,792,4
269,0,796,1
270,5,797,1
271,0,798,1
272,1,799,2
273,0,801,1
274,1,802,2
275,10,804,1
276,1,805,1
277,2,806,2
278,10,808,1
279,2,809,3
280,10,812,2
281,11,814,1
282,2,815,1
283,11,816,2
284,5,818,4
285,11,822,1
286,5,823,1
287,11,824,24
288,8,848,1
289,11,849,1
290,8,850,4
291,11,854,1
292,8,855,1
293,11,856,18
294,1,874,1
295,11,875,1
296,2,876,4
297,7,880,2
298,1,882,1
299,2,883,1
300,11,884,4
301,8,888,1
302,11,889,1
303,5,890,1
304,8,891,1
305,1,892,12
306,10,904,1
307,0,905,1
308,5,906,1
309,10,907,1
310,9,908,2
311,10,910,2
312,2,912,12
313,11,924,2
314,1,926,1
315,11,927,1
316,5,928,1
317,1,929,1
318,5,930,4
319,11,934,2
320,1,936,1
321,5,937,5
322,1,942,1
323,5,943,9
324,9,952,1
325,0,953,2
326,9,955,1
327,0,956,4
328,5,960,2
329,0,962,4
330,5,966,2
331,1,968,1
332,5,969,1
333,1,970,1
334,9,971,1
335,1,972,2
336,9,974,1
337,1,975,1
338,9,976,12
339,2,988,2
340,10,990,1
341,2,991,1
342,10,992,4
343,11,996,10
344,8,1006,1
345,11,1007,1
346,8,1008,2
347,0,1010,1
348,8,1011,1
349,11,1012,2
350,6,1014,1
351,11,1015,1
352,2,1016,4
353,11,1020,10
354,8,1030,1
355,5,1031,1
356,11,1032,14
357,6,1046,1
358,11,1047,1
359,0,1048,2
360,9,1050,1
361,0,1051,1
362,9,1052,4
363,0,1056,6
364,8,1062,1
365,0,1063,1
366,8,1064,4
367,5,1068,1
368,8,1069,1
369,5,1070,2
370,1,1072,1
371,5,1073,5
372,9,1078,1
373,5,1079,1
374,9,1080,8
375,11,1088,2
376,8,1090,1
377,11,1091,1
378,5,1092,1
379,9,1093,2
380,5,1095,1
381,8,1096,1
382,11,1097,1
383,10,1098,1
384,5,1099,1
385,10,1100,6
386,5,1106,1
387,10,1107,1
388,11,1108,16
389,9,1124,1
390,8,1125,1
391,9,1126,1
392,5,1127,1
393,8,1128,1
394,9,1129,1
395,8,1130,2
396,6,1132,1
397,8,1133,1
398,0,1134,2
399,6,1136,1
400,0,1137,2
401,8,1139,1
402,1,1140,1
403,0,1141,1
404,8,1142,2
405,1,1144,4
406,11,1148,2
407,12,1150,1
408,11,1151,1
409,6,1152,2
410,1,1154,4
411,0,1158,1
412,1,1159,1
413,11,1160,4
414,5,1164,1
415,11,1165,1
416,5,1166,2
417,0,1168,2
418,1,1170,1
419,8,1171,1
420,0,1172,3
421,9,1175,2
422,0,1177,1
423,9,1178,2
424,1,1180,1
425,5,1181,1
426,10,1182,1
427,1,1183,1
428,7,1184,8
429,2,1192,1
430,7,1193,1
431,10,1194,1
432,2,1195,1
433,10,1196,2
434,11,1198,10
435,0,1208,1
436,8,1209,1
437,11,1210,2
438,2,1212,4
439,7,1216,1
440,2,1217,1
441,7,1218,2
442,10,1220,1
443,7,1221,1
444,9,1222,2
445,7,1224,1
446,10,1225,1
447,7,1226,4
448,2,1230,2
