,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.04174216495537212,1.355119825708061,1.0,1.0,1.0,1.0,2.0
1,0.13334675525132542,2.4114077669902914,1.0,1.0,2.0,3.0,5.0
2,0.15676800214750689,2.7875894988066827,1.0,1.0,2.0,3.0,6.0
3,0.0016777397490101336,1.0416666666666667,1.0,1.0,1.0,1.0,1.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.04261458962485739,1.5412621359223302,1.0,1.0,1.0,2.0,3.0
6,0.014495671431447555,1.2413793103448276,1.0,1.0,1.0,1.0,2.0
7,0.04449365814374874,1.717616580310881,1.0,1.0,1.0,2.0,3.0
8,0.021273740017448493,1.174074074074074,1.0,1.0,1.0,1.0,2.0
9,0.19864438628279982,3.849154746423927,1.0,1.0,2.0,4.0,7.0
10,0.10710690557680692,2.257425742574257,1.0,1.0,2.0,3.0,4.0
11,0.2309912086437152,4.0830367734282325,1.0,1.0,2.0,6.0,10.0
12,0.0011408630293268907,1.0625,1.0,1.0,1.0,1.0,1.0
13,0.0028186027783370245,1.4482758620689655,1.0,1.0,1.0,1.0,3.0
