,Stats,,,,,,
B-SOiD labels,Percent of time,Mean duration (frames),10th %tile (frames),25th %tile (frames),50th %tile (frames),75th %tile (frames),90th %tile (frames)
0,0.040735521105966045,1.5062034739454093,1.0,1.0,1.0,2.0,3.0
1,0.19931548218240386,2.5625539257981016,1.0,1.0,2.0,3.0,5.0
2,0.13421917992081067,2.828854314002829,1.0,1.0,2.0,3.0,6.0
3,0.0038252466277431045,1.5,1.0,1.0,1.0,1.0,2.0
4,0.0,,0.0,0.0,0.0,0.0,0.0
5,0.07019663109858398,1.9698681732580037,1.0,1.0,1.0,2.0,4.0
6,0.012213945372793772,1.205298013245033,1.0,1.0,1.0,1.0,2.0
7,0.06247902825313737,1.9275362318840579,1.0,1.0,1.0,2.0,3.0
8,0.017851150929467822,1.1875,1.0,1.0,1.0,1.0,2.0
9,0.1911281122072344,4.843537414965986,1.0,1.0,2.0,4.0,9.0
10,0.09616804241326085,2.3150242326332795,1.0,1.0,1.0,3.0,5.0
11,0.1668344406415677,3.443213296398892,1.0,1.0,2.0,4.0,8.0
12,0.002550164418495403,1.027027027027027,1.0,1.0,1.0,1.0,1.0
13,0.0013421917992081068,1.1764705882352942,1.0,1.0,1.0,1.0,2.0
