,B-SOiD labels,Start time (frames),Run lengths
0,5,0,1
1,12,1,1
2,11,2,3
3,1,5,1
4,5,6,2
5,11,8,3
6,8,11,1
7,5,12,5
8,9,17,5
9,5,22,2
10,9,24,4
11,8,28,2
12,9,30,3
13,5,33,1
14,1,34,2
15,11,36,2
16,10,38,1
17,11,39,2
18,3,41,1
19,9,42,4
20,5,46,1
21,9,47,2
22,5,49,1
23,11,50,2
24,5,52,1
25,9,53,1
26,8,54,1
27,11,55,4
28,8,59,3
29,9,62,3
30,5,65,1
31,8,66,2
32,9,68,1
33,1,69,1
34,5,70,1
35,11,71,5
36,8,76,1
37,5,77,1
38,9,78,1
39,0,79,2
40,9,81,3
41,8,84,1
42,11,85,7
43,0,92,2
44,9,94,5
45,5,99,1
46,9,100,1
47,11,101,2
48,5,103,1
49,11,104,10
50,5,114,2
51,11,116,4
52,0,120,2
53,5,122,1
54,9,123,2
55,8,125,1
56,2,126,1
57,9,127,5
58,5,132,2
59,11,134,7
60,8,141,2
61,11,143,8
62,0,151,2
63,9,153,4
64,8,157,2
65,10,159,1
66,9,160,1
67,0,161,5
68,1,166,1
69,10,167,1
70,11,168,1
71,2,169,2
72,12,171,1
73,10,172,1
74,0,173,1
75,2,174,1
76,11,175,1
77,2,176,1
78,10,177,5
79,2,182,10
80,7,192,1
81,10,193,2
82,5,195,1
83,9,196,1
84,7,197,1
85,2,198,2
86,9,200,2
87,7,202,1
88,1,203,2
89,5,205,1
90,9,206,2
91,2,208,2
92,10,210,1
93,3,211,1
94,10,212,1
95,2,213,2
96,0,215,1
97,2,216,3
98,0,219,1
99,9,220,1
100,0,221,2
101,9,223,1
102,2,224,5
103,7,229,3
104,2,232,1
105,7,233,1
106,2,234,2
107,10,236,1
108,2,237,1
109,11,238,2
110,2,240,1
111,11,241,6
112,0,247,1
113,2,248,1
114,11,249,4
115,6,253,2
116,11,255,6
117,5,261,1
118,9,262,6
119,5,268,1
120,11,269,1
121,1,270,2
122,11,272,1
123,2,273,2
124,11,275,1
125,1,276,1
126,11,277,2
127,8,279,2
128,1,281,1
129,5,282,1
130,11,283,2
131,2,285,1
132,11,286,1
133,1,287,1
134,11,288,4
135,0,292,9
136,9,301,1
137,7,302,1
138,2,303,3
139,9,306,5
140,11,311,6
141,10,317,1
