,B-SOiD labels,Start time (frames),Run lengths
0,5,0,2
1,12,2,1
2,11,3,6
3,1,9,3
4,5,12,4
5,11,16,6
6,8,22,1
7,0,23,1
8,5,24,10
9,9,34,10
10,5,44,4
11,9,48,8
12,8,56,3
13,0,59,1
14,9,60,6
15,5,66,2
16,1,68,4
17,11,72,3
18,2,75,1
19,10,76,1
20,11,77,4
21,3,81,2
22,0,83,1
23,9,84,7
24,5,91,3
25,9,94,3
26,5,97,2
27,8,99,1
28,11,100,3
29,5,103,2
30,9,105,2
31,8,107,2
32,11,109,9
33,8,118,5
34,0,123,1
35,9,124,5
36,5,129,2
37,11,131,1
38,8,132,3
39,11,135,1
40,9,136,1
41,5,137,1
42,1,138,2
43,5,140,1
44,1,141,1
45,11,142,9
46,8,151,2
47,9,153,1
48,5,154,2
49,9,156,1
50,0,157,4
51,9,161,6
52,8,167,2
53,11,169,4
54,0,173,1
55,11,174,7
56,0,181,1
57,11,182,2
58,0,184,3
59,9,187,11
60,5,198,2
61,9,200,1
62,11,201,4
63,8,205,1
64,5,206,1
65,8,207,1
66,11,208,3
67,8,211,1
68,11,212,15
69,1,227,1
70,5,228,3
71,8,231,1
72,11,232,8
73,0,240,4
74,5,244,1
75,9,245,2
76,5,247,1
77,9,248,1
78,8,249,2
79,0,251,1
80,2,252,1
81,9,253,11
82,5,264,3
83,8,267,1
84,11,268,14
85,8,282,3
86,11,285,16
87,0,301,5
88,9,306,5
89,5,311,1
90,9,312,1
91,8,313,4
92,0,317,1
93,10,318,1
94,9,319,3
95,0,322,5
96,1,327,1
97,0,328,3
98,11,331,1
99,1,332,1
100,10,333,3
101,11,336,1
102,2,337,4
103,11,341,1
104,12,342,1
105,10,343,3
106,0,346,1
107,2,347,3
108,11,350,2
109,2,352,1
110,10,353,10
111,2,363,20
112,7,383,2
113,10,385,4
114,7,389,1
115,5,390,1
116,9,391,2
117,7,393,3
118,2,396,4
119,9,400,4
120,7,404,2
121,1,406,3
122,5,409,2
123,9,411,4
124,2,415,4
125,10,419,2
126,2,421,1
127,3,422,1
128,10,423,2
129,2,425,5
130,0,430,1
131,11,431,1
132,2,432,6
133,0,438,1
134,9,439,3
135,0,442,1
136,2,443,1
137,0,444,2
138,9,446,2
139,2,448,1
140,7,449,1
141,2,450,8
142,7,458,6
143,2,464,2
144,7,466,1
145,2,467,5
146,10,472,2
147,2,474,1
148,11,475,5
149,2,480,2
150,11,482,12
151,0,494,2
152,2,496,2
153,11,498,8
154,6,506,1
155,0,507,1
156,6,508,1
157,11,509,13
158,5,522,1
159,9,523,12
160,5,535,2
161,1,537,1
162,11,538,2
163,1,540,4
164,11,544,2
165,2,546,4
166,11,550,2
167,1,552,1
168,5,553,1
169,11,554,3
170,8,557,4
171,1,561,3
172,5,564,2
173,11,566,4
174,2,570,2
175,11,572,2
176,1,574,1
177,2,575,1
178,11,576,7
179,6,583,1
180,0,584,1
181,1,585,1
182,0,586,15
183,5,601,1
184,9,602,1
185,2,603,1
186,7,604,1
187,2,605,7
188,9,612,9
189,11,621,12
190,0,633,1
191,10,634,1
192,5,635,4
193,11,639,1
194,6,640,1
195,5,641,5
196,9,646,1
197,5,647,1
198,9,648,2
199,8,650,1
200,11,651,6
201,8,657,3
202,6,660,1
203,0,661,1
204,8,662,1
205,11,663,3
206,0,666,2
207,6,668,1
208,8,669,2
209,1,671,2
210,0,673,1
211,8,674,2
212,1,676,4
213,0,680,6
214,5,686,2
215,1,688,7
216,5,695,12
